node,node_type,degree,weighted_degree,cases,community_id,pagerank,betweenness,is_hub,top_districts
Private Security Regulation act 2005,act,1,146,148,0,0.000344,0.0,False,
Karnataka Muncipal Corporation Act 1976,act,3,162,71,4,0.000344,0.0,False,
"(r)(s),3(2)(v-a) IPC 1860",act,2,51,26,1,0.000344,0.0,False,
(11) IPC 1860,act,2,52,29,1,0.000344,0.0,False,
"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",act,3,199,112,2,0.000344,2.8e-05,False,
(10) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,2,50,25,1,0.000343,0.0,False,
Cigarettes and Other Tobacco Products (Packging and Labelling) amendment Rules - 2014,act,2,61,34,4,0.000343,0.0,False,
"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",act,3,98,84,0,0.000343,0.003931,False,
CRIMINAL CONSPIRACY,crime_head,1,237,237,2,0.000343,0.0,False,Bengaluru City; Bengaluru Rural; Mangaluru City
"(f),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,109,55,3,0.000343,0.0,False,
(5a) IPC 1860,act,2,46,31,1,0.000342,0.0,False,
"KARNATAKA PROHIBITION OF BEGGARY ACT, 1975",act,1,137,140,0,0.000342,0.0,False,
"A,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,102,51,3,0.000341,0.0,False,
(X) IPC 1860,act,2,47,26,1,0.000341,0.0,False,
"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,95,48,3,0.000339,0.0,False,
"RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",act,4,143,98,4,0.000337,8.3e-05,False,
"(ii) (B) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,2,70,36,7,0.000337,0.0,False,
KARNATAKA PRISONERS ACT - 1963,act,4,136,84,0,0.000337,0.00077,False,
"(ii) A NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,2,66,33,7,0.000336,0.0,False,
"(II),6 Prohibition of Child Marriage Act 2006",act,2,87,44,3,0.000336,0.0,False,
"JUVENILE JUSTICE ACT, 1986",act,2,82,63,3,0.000336,0.0,False,
"(n) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,3,64,39,1,0.000335,0.000794,False,
/181 IPC 1860,act,3,111,39,0,0.000335,0.0,False,
"NEGOTIABLE INSTRUMENTS ACT, 1881",act,5,189,69,0,0.000334,1.7e-05,False,
POISONING-PROFESSIONAL,crime_head,2,168,156,2,0.000334,0.0,False,Karnataka Railways; Bidar; Bengaluru City
"(A) ESSENTIAL COMMODITIES ACT, 1955",act,1,19,19,6,0.000333,0.0,False,
(ii)(A) IPC 1860,act,2,60,31,7,0.000333,0.0,False,
"(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,77,39,3,0.000333,0.0,False,
(1A) IPC 1860,act,3,124,45,0,0.000333,0.0,False,
INDIAN MOTOR VEHICLE,crime_head,2,180,103,0,0.000333,0.0,False,Hassan; Bengaluru Rural; Raichur
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,2,74,38,3,0.000332,0.0,False,
"(s),3(1)(r),3(2)(va) IPC 1860",act,1,26,27,1,0.000332,0.0,False,
"PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",act,2,107,104,0,0.000332,0.0,False,
(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,4,102,37,2,0.000332,0.000322,False,
"(ii) B NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,2,55,28,7,0.000332,0.0,False,
(r)(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,25,27,1,0.000331,0.0,False,
"(ii)(A) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,2,55,30,7,0.000331,0.0,False,
"KARNATAKA IRRIGATION ACT, 1965",act,2,108,78,0,0.00033,0.0,False,
"(r),3(1)(s),3(2)(V) IPC 1860",act,1,23,30,1,0.000329,0.0,False,
"(I),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,62,31,3,0.000329,0.0,False,
"(r),3(1)(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015",act,1,23,24,1,0.000329,0.0,False,
DRUGS CONTROL ACT 1950,act,2,102,56,0,0.000329,0.0,False,
"(a)(b)(c),4(1)(A) ESSENTIAL COMMODITIES ACT, 1955",act,1,16,16,6,0.000329,0.0,False,
"(r),3(1) (s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,23,23,1,0.000329,0.0,False,
PORNOGRAPHY,crime_head,2,148,109,2,0.000328,0.0,False,Bengaluru City; Bagalkote; Kodagu
"PRISONS ACT, 1894",act,3,89,56,2,0.000328,3e-05,False,
"The Karnataka Essential Commodities (Maintenance of Accounts, Display of Prices and Stocks) Order, 1981",act,1,15,16,6,0.000328,0.0,False,
"(r),3(2)(v-a) IPC 1860",act,1,21,22,1,0.000328,0.0,False,
(A) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,3,58,33,0,0.000328,1.6e-05,False,
"(va),3(1)(r) IPC 1860",act,1,21,22,1,0.000328,0.0,False,
(W) (I) IPC 1860,act,2,26,27,1,0.000328,0.000794,False,
"(n),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,56,30,3,0.000327,0.0,False,
"(r),3(1)(s),3(1)(w),3(2)(va) IPC 1860",act,1,20,21,1,0.000327,0.0,False,
"(i),4,6,8 KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016",act,1,14,15,6,0.000327,0.0,False,
"(i),8 ESSENTIAL COMMODITIES ACT, 1955",act,1,14,14,6,0.000327,0.0,False,
THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,act,2,91,53,0,0.000327,0.0,False,
"(s),3(1)(r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,20,21,1,0.000327,0.0,False,
"(r),3(1)(s),3(1)(w),3(2)(v-a) IPC 1860",act,1,20,20,1,0.000327,0.0,False,
FERTILIZER ACT,act,1,14,27,6,0.000327,0.0,False,
"(va),3(1)(s),3(1)(r) IPC 1860",act,1,20,22,1,0.000327,0.0,False,
"Kerosene (Restriction on use and Fixation of selling price) Act, 1993",act,1,13,13,6,0.000326,0.0,False,
(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,2,51,26,3,0.000326,0.0,False,
"(s),3(1) (r) IPC 1860",act,1,19,20,1,0.000326,0.0,False,
CRIMINAL MISAPPROPRIATION,crime_head,1,111,111,2,0.000326,0.0,False,Bidar; Bengaluru City; Hassan
"ESSENTIAL COMMODITIES (LICENSING) ORDER, 1986",act,1,13,19,6,0.000326,0.0,False,
(q) Karnataka SC/ST & Other B .C. [ Reservation Of Appointment ACT] -1990,act,1,19,20,1,0.000326,0.0,False,
"(r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,19,22,1,0.000326,0.0,False,
"(n),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,52,26,3,0.000326,0.0,False,
"(r) (s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,18,18,1,0.000325,0.0,False,
MOTOR SPIRIT & HIGH SPEED DIESEL ORDER ACT 1999,act,1,12,13,6,0.000325,0.0,False,
DEATHS-MISCARRIAGE,crime_head,1,107,107,2,0.000325,0.0,False,Bengaluru City; Vijayapura; Koppal
"(r),3(1)(s),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",act,1,18,18,1,0.000325,0.0,False,
"B,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,2,50,25,3,0.000325,0.0,False,
"(b) EPIDEMIC DISEASES ACT, 1897",act,1,10,10,7,0.000325,0.0,False,
"(r),3(1)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,1,18,21,1,0.000325,0.0,False,
THE FERTILISER (CONTROL) ORDER,act,1,12,17,6,0.000325,0.0,False,
(A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,3,84,29,0,0.000325,0.0,False,
"(r),3(1)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,18,18,1,0.000325,0.0,False,
Karnataka Electricity Act 2003,act,4,106,65,0,0.000324,1.8e-05,False,
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),crime_head,1,96,97,2,0.000324,0.0,False,Bengaluru City; Tumakuru; Bidar
DEFAMATION,crime_head,1,98,98,2,0.000324,0.0,False,Bengaluru City; Tumakuru; Gadag
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",act,1,17,20,1,0.000324,0.0,False,
"(va),3(1)(r),3(1)(s) IPC 1860",act,1,16,16,1,0.000324,0.0,False,
(x) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,1,17,18,1,0.000324,0.0,False,
(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,17,18,1,0.000324,0.0,False,
"(V),3(1)(s),3(1)(r) IPC 1860",act,1,16,20,1,0.000324,0.0,False,
"(5a),3(1)(r)(s) IPC 1860",act,1,16,16,1,0.000324,0.0,False,
"THE SPECIFIED BANK NOTES(CESSATIONOF LIABILITIES)ACT, 2017",act,2,76,46,0,0.000324,0.0,False,
(va) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,1,16,16,1,0.000324,0.0,False,
"(a)(i) GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",act,1,11,11,6,0.000323,0.0,False,
"(s),3(1)(r),3(2)(v-a) IPC 1860",act,1,15,15,1,0.000323,0.0,False,
"Maintenance and Welfare of Parents and Senior Citizens Act, 2007",act,4,81,52,0,0.000323,9.3e-05,False,
"(s),3(2)(va) IPC 1860",act,1,15,16,1,0.000323,0.0,False,
(w)(i) IPC 1860,act,1,15,23,1,0.000323,0.0,False,
"(r),3(1)(s),3(2)(v-a),3(1)(w) IPC 1860",act,1,15,17,1,0.000323,0.0,False,
(f) IPC 1860,act,1,15,15,1,0.000323,0.0,False,
KARNATAKA REGISTRATION ACT 1908,act,3,80,43,2,0.000323,2.8e-05,False,
"(i),4,8 KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016",act,1,10,11,6,0.000322,0.0,False,
"(r),3(1)(s) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",act,1,14,16,1,0.000322,0.0,False,
"(s),3(2)(v-a) IPC 1860",act,1,14,15,1,0.000322,0.0,False,
"(w),3(1)(s),3(1)(r) IPC 1860",act,1,14,15,1,0.000322,0.0,False,
(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,14,17,1,0.000322,0.0,False,
"(n),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,25,26,3,0.000322,0.0,False,
(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,2,44,26,3,0.000322,0.0,False,
SLAVERY,crime_head,1,80,80,2,0.000322,0.0,False,Bengaluru City; Raichur; Belagavi City
"(r)(s),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,14,15,1,0.000322,0.0,False,
The Karnataka Phohibition of Violence against Medicare service personnel and Damage to Property in Medicare Service Institutions Act 2009,act,3,72,52,2,0.000322,6e-06,False,
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,crime_head,1,87,87,2,0.000322,0.0,False,Chikkamagaluru; Chitradurga; Vijayapura
"(r),3(1) (s),3(2)(5a) IPC 1860",act,1,14,16,1,0.000322,0.0,False,
(n) CHILD MARRIAGE RESTRAINT ACT,act,1,24,25,3,0.000321,0.0,False,
"KARNATAKA CO-OPERATIVE SOCIETIES ACT, 1959",act,2,73,49,2,0.000321,0.0,False,
"(va) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,13,17,1,0.000321,0.0,False,
"-1(B) (b),4 IPC 1860",act,1,32,32,5,0.000321,0.0,False,
(v-a) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,1,13,15,1,0.000321,0.0,False,
"(r),3(1)(s),3(1)(w)(i)(ii) IPC 1860",act,1,13,18,1,0.000321,0.0,False,
"(w)(i)(ii),3 (2)(v) IPC 1860",act,1,22,24,3,0.000321,0.0,False,
"(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,24,24,3,0.000321,0.0,False,
"(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,24,24,3,0.000321,0.0,False,
(II) Prohibition of Child Marriage Act 2006,act,1,24,24,3,0.000321,0.0,False,
"(II),6,5(L) IPC 1860",act,1,23,23,3,0.000321,0.0,False,
(V) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,13,25,1,0.000321,0.0,False,
"(b),63 IPC 1860",act,1,13,13,2,0.00032,0.0,False,
UNNATURAL SEX,crime_head,2,61,52,2,0.00032,0.0,False,Bengaluru City; Belagavi; Mangaluru City
KARNATAKA PANCHAYAT ACT - 1993,act,2,52,48,0,0.00032,0.0,False,
"(r),3(2)(va),3(1)(s) IPC 1860",act,1,12,14,1,0.00032,0.0,False,
"(r)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,1,12,13,1,0.00032,0.0,False,
"REGISTRATION ACT, 1908",act,2,65,43,2,0.00032,0.0,False,
"(II),5(L),6 Prohibition of Child Marriage Act 2006",act,1,20,20,3,0.00032,0.0,False,
(ii) A IPC 1860,act,1,24,24,7,0.00032,0.0,False,
(5) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,21,24,3,0.00032,0.0,False,
"(r),3(1)(s),3 (2)(v) IPC 1860",act,1,12,17,1,0.00032,0.0,False,
"(r),2(v) IPC 1860",act,1,12,15,1,0.00032,0.0,False,
"(r),3(1)(s),3(2)(v-a),3(2)(V) IPC 1860",act,1,11,12,1,0.00032,0.0,False,
"(i)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,21,21,3,0.00032,0.0,False,
"(W) (I) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,12,16,1,0.00032,0.0,False,
(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,12,12,1,0.00032,0.0,False,
"(va),0 IPC 1860",act,1,11,13,1,0.00032,0.0,False,
"(r),3(2)(5a) IPC 1860",act,1,11,12,1,0.00032,0.0,False,
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",act,1,11,15,1,0.00032,0.0,False,
"(s),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,1,12,13,1,0.00032,0.0,False,
"(r),3(1) (s),3(2)(v-a) IPC 1860",act,1,12,12,1,0.00032,0.0,False,
"(r),3(2)(v-a),3(1) (s) IPC 1860",act,1,12,12,1,0.00032,0.0,False,
(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,19,21,3,0.000319,0.0,False,
IMPERSONATION,crime_head,1,64,64,2,0.000319,0.0,False,Bengaluru City; Karnataka Railways; Mysuru
"(f),3(1)(r),3(1)(s) IPC 1860",act,1,10,10,1,0.000319,0.0,False,
IMMIGRATION ACT,act,3,54,30,2,0.000319,2.8e-05,False,
"A,376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,18,18,3,0.000319,0.0,False,
"Karnataka Prevention and Eradication of Inhuman Evil Practices and Black Magic Act, 2017",act,2,49,39,0,0.000319,0.0,False,
OF ABETMENT,crime_head,1,63,63,2,0.000319,0.0,False,Bengaluru City; Mandya; Koppal
"(s),3(1)(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015",act,1,10,10,1,0.000319,0.0,False,
"(D),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",act,2,23,24,0,0.000318,1.6e-05,False,
"(n),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,17,17,3,0.000318,0.0,False,
"(w),3 (2)(v) IPC 1860",act,1,16,21,3,0.000318,0.0,False,
KARNATAKA ELECTRICITY REFORM ACT 1999,act,2,57,45,2,0.000318,0.0,False,
"(f),376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,17,17,3,0.000318,0.0,False,
TOBACCO BOARD (AMENDMENT) ACT 1975,act,1,11,13,4,0.000317,0.0,False,
"PREVENTION OF CORRUPTION ACT, 1988",act,2,45,35,2,0.000317,0.0,False,
KARNATAKA MINING ACT,act,1,29,32,0,0.000317,0.0,False,
"(n),376(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,14,14,3,0.000317,0.0,False,
(d) IPC 1860,act,3,118,66,0,0.000317,5e-06,False,
"(f),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,14,14,3,0.000317,0.0,False,
(W) (I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,14,21,3,0.000317,0.0,False,
(L) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,15,15,3,0.000317,0.0,False,
(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,14,17,3,0.000317,0.0,False,
"(3) KARNATAKA POLICE ACT, 1963",act,2,64,32,4,0.000317,0.0,False,
"(n),366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,15,15,3,0.000317,0.0,False,
"(II),6 CHILD MARRIAGE RESTRAINT ACT",act,1,11,11,3,0.000316,0.0,False,
"The Poisons Act, 1919",act,1,10,13,4,0.000316,0.0,False,
(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,11,16,3,0.000316,0.0,False,
"(f),376(2)(I),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,11,11,3,0.000316,0.0,False,
"THE KARNATAKA PROHIBITION OF SMOKING AND PROTECTION OF HEALTH OF NON SMOKERS ACT, 2001",act,1,22,27,0,0.000316,0.0,False,
"(n),149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,12,12,3,0.000316,0.0,False,
"(n),114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,13,13,3,0.000316,0.0,False,
"(w),3(2)(V) IPC 1860",act,1,12,17,3,0.000316,0.0,False,
(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,1,12,14,3,0.000316,0.0,False,
(n) The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,1,13,26,3,0.000316,0.0,False,
"(II),5(L),5(n),6 IPC 1860",act,1,13,13,3,0.000316,0.0,False,
(ii) (B) IPC 1860,act,1,15,16,7,0.000316,0.0,False,
"(n),363,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,12,15,3,0.000316,0.0,False,
"(f),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,12,12,3,0.000316,0.0,False,
"(n),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,12,12,3,0.000316,0.0,False,
"(f),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,11,11,3,0.000316,0.0,False,
"(n),504,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,1,10,12,3,0.000315,0.0,False,
"THE KARNATAKA REGULATION OF STONE CRUSHERS ACT, 2011",act,1,20,22,0,0.000315,0.0,False,
PUBLIC JUSTICE,crime_head,1,30,30,2,0.000315,0.0,False,Bengaluru City; Bengaluru Rural; Mysuru City
"IRRIGATION ACT, 1963",act,1,19,30,0,0.000315,0.0,False,
"THE BANGALORE WATER SUPPLY AND SEWERAGE ACT, 1964",act,1,20,22,0,0.000315,0.0,False,
(ii) B IPC 1860,act,1,11,11,7,0.000315,0.0,False,
"(10),21(1),21(2),21(3),21(4) INDIAN MOTOR VEHICLES ACT, 1988",act,1,18,19,0,0.000315,0.0,False,
(ii)(I)(n)/6 IPC 1860,act,1,10,11,3,0.000315,0.0,False,
"(n),363 Prohibition of Child Marriage Act 2006",act,1,10,10,3,0.000315,0.0,False,
SEDITION,crime_head,1,34,34,2,0.000315,0.0,False,Bengaluru City; Vijayanagara; Gadag
Karanata State Public Records Act-2010,act,1,19,25,0,0.000315,0.0,False,
"(ii) C NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,1,11,11,7,0.000315,0.0,False,
"Indian Treasure Trove Act, 1878",act,1,10,25,2,0.000315,0.0,False,
"(i) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,1,12,12,7,0.000315,0.0,False,
"(1A),21(2),21(3),21(4),21(4A),21(5) IPC 1860",act,1,13,13,0,0.000314,0.0,False,
(D) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,1,13,23,0,0.000314,0.0,False,
"(h),5,9 IPC 1860",act,1,13,13,0,0.000314,0.0,False,
The Specified Bank Notes (Cessation of Liabilities) Act 2017,act,1,15,26,0,0.000314,0.0,False,
(A) KARNATAKA NEW SAND POLICY 2011,act,1,17,17,0,0.000314,0.0,False,
"(h),5(1),5(4) IPC 1860",act,1,16,16,0,0.000314,0.0,False,
"(E),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",act,1,17,24,0,0.000314,0.0,False,
"(E),11(1) (D),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",act,1,17,20,0,0.000314,0.0,False,
(1A) KARNATAKA LAND REVENUE ACT 1964,act,1,15,16,0,0.000314,0.0,False,
(A) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,1,13,20,0,0.000314,0.0,False,
KARNATAKA PREVENTION OF ANIMAL SACRIFICES ACT 1959,act,1,15,27,0,0.000314,0.0,False,
"(10),21(5) KARNATAKA LAND REVENUE ACT 1964",act,1,12,12,0,0.000313,0.0,False,
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,1,10,12,0,0.000313,0.0,False,
The Bangalore Water Supply and Sewerage (Amendment) Act 2011,act,1,11,11,0,0.000313,0.0,False,
KARNATAKA AYURVEDIC & UNANI PRACT. REGI. & MEDICAL PRACT. MISC. PROV. ACT,act,1,15,20,2,0.000313,0.0,False,
KARNATAKA PRISONERS RULE 1974,act,1,10,14,0,0.000313,0.0,False,
"PREVENTION OF ANIMAL SACRIFICE ACT, 1959",act,1,10,14,0,0.000313,0.0,False,
"(a),4(2) (h),5(1),5(3) THE DISASTER MANAGEMENT ACT, 2005",act,1,11,11,0,0.000313,0.0,False,
(a) (b) IPC 1860,act,1,10,10,0,0.000313,0.0,False,
"(A),230 (A),177 IPC 1860",act,1,17,17,0,0.000313,0.0,False,
Indian Telegraph Act 1985,act,1,19,32,2,0.000313,0.0,False,
DOCUMENTS & PROPERTY MARKS,crime_head,1,16,16,2,0.000313,0.0,False,Bengaluru City; Mysuru City; Bengaluru Rural
"DRUGS AND COSMETICS ACT, 1940",act,1,15,25,2,0.000313,0.0,False,
"(e),4(2) (h),5(1) IPC 1860",act,1,10,10,4,0.000312,0.0,False,
"MOTOR VEHICLE (TAX) ACT, 1958",act,1,11,23,0,0.000312,0.0,False,
(iii) INFORMATION TECHNOLOGY ACT 2000,act,1,12,13,2,0.000312,0.0,False,
"INDECENT REPREN. OF WOMEN (PROHIBITION) ACT, 1986",act,1,10,21,2,0.000312,0.0,False,
Giving false information respecting an offence com,crime_head,1,11,11,2,0.000312,0.0,False,Kolar; Ballari; Bengaluru City
RECEIVING OF STOLEN PROPERTY,crime_head,1,13,14,2,0.000312,0.0,False,Bengaluru City; Mandya; Vijayapura
"-ii INDIAN MOTOR VEHICLES ACT, 1988",act,1,14,20,0,0.000312,0.0,False,
KARNATAKA RACE BETTING ACT,act,1,23,24,4,0.000312,0.0,False,
IV(B) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,1,10,10,0,0.000312,0.0,False,
(B) INFORMATION TECHNOLOGY ACT 2000,act,1,12,20,2,0.000312,0.0,False,
"IV(B),31R(13) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",act,1,10,10,0,0.000312,0.0,False,
"(d) KARNATAKA POLICE ACT, 1963",act,1,10,14,0,0.000311,0.0,False,
(a)(vi) IPC 1860,act,1,10,10,4,0.000311,0.0,False,
