act,count
"(I),376(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(1) (q) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
(I) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,2
"(1A),42,22 IPC 1860",2
"(r)(s)(2)(va) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(vii) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(r) (s),3 (2)(v),3(2)(va) IPC 1860",2
"(w)(i)(ii),3(1)(s),3(1)(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(a)(vi) KARNATAKA POLICE ACT, 1963",2
"(g),3(2)(v-a) IPC 1860",2
(x)(xii) IPC 1860,2
"(II) JUVENILE JUSTICE ACT, 2000",2
(L) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"KARNATAKA PUBLIC CONVEYANCES ACT, 1961",2
"(xi) DOWRY PROHIBITION ACT, 1961",2
"/181,192 INDIAN MOTOR VEHICLES ACT, 1988",2
"(I),376(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I),376(2)(o),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(i)(n),376(2)(o),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(n),376(2)(o) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(1B) (a),27(1) IPC 1860",2
"(10)(11),3(1)(x),3(1)(xi) IPC 1860",2
"(u),3(1)(s) IPC 1860",2
"(r)(s),3(2)(5a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(r),3(1)(s),3(2)(va),3(2)(V) IPC 1860",2
"(2) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(w)(2),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"A,376(2)(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(L),376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(a)(b)(c) Liquified Petroleum Gas (Regulation of Supply & Distribution) Order 2000,2
"(ii) C ARMS ACT, 1959",2
"B,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(b) FOREIGNERS ACT, 1946",2
"(a)(b)(c),4(1)(A),7(1)(c) IPC 1860",2
"(v),3(1)(x) IPC 1860",2
"(b) (1),63 IPC 1860",2
"ADVOCATES ACT, 1961",2
"(5),3(2)(v-a) IPC 1860",2
"(II) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(a),3(1)(b),3(1)(c),3(2),3(3),3(4),7(1)(a),7(1)(b),4(1)(a),4(1) (b),4(1)(c),4(1)(d),7(1)(c) IPC 1860",2
"-1(B) (b) CODE OF CRIMINAL PROCEDURE, 1973",2
suppression of unlawful acts against safety of civil aviation act 1982,2
"(d),12(1A) IPC 1860",2
"(a),12(1A) IPC 1860",2
"(A),14 (B) PASSPORTS ACT, 1967",2
"(a), (b), FOREIGNERS ACT, 1946",2
"(b),12 (a),12(1) IPC 1860",2
"(a),12 (b) FOREIGNERS ACT, 1946",2
"(a),12 (b) IPC 1860",2
(B) KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,2
(X) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,2
"(II),4 Prohibition of Child Marriage Act 2006",2
"(2),21 IPC 1860",2
"(A),11(1) (H),11(1) (K),11(1) (E) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",2
(15) IPC 1860,2
"(A),11(1) (D),11(1) (E),11(1) (F),11(1) (H) INDIAN MOTOR VEHICLES ACT, 1988",2
"(r),3(1)(f),3(1)(g) IPC 1860",2
"(n),420 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(b) (1) IPC 1860,2
"-1(B) (b) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
(1) INFORMATION TECHNOLOGY ACT 2000,2
"(1),354(D) INFORMATION TECHNOLOGY ACT 2000",2
"(1) (2),7,5,4 PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",2
"CITIZENSHIP ACT, 1955",2
"(V),3(1)(w),3(2)(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I),354(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(10),4 IPC 1860",2
"(va),3 (2)(v),3(1)(w)(i),3 (1) (w) (ii) IPC 1860",2
"(n),376(3) Prohibition of Child Marriage Act 2006",2
"(w)(i)(ii),3(2)(5) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"-ii The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",2
The Bureau of Indian Standard Act 2016,2
(i) INFORMATION TECHNOLOGY ACT 2008,2
"(i)(n),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
THE HUMAN IMMUUNODEFICIENCY VIRUS AND ACQUIRED IMMUNE DEFICIENCY SYNDROME (PREVENTION AND CONTROL) ACT - 2017,2
"(g),3(1)(s),3(1)(r) IPC 1860",2
"THE KARNATAKA APARTMENT OWNERSHIP ACT, 1972",2
"(A) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(5a),3(1) (s),3(1) (r),3(1) (g) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
(10) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,2
"(r),3(1)(w)(i)(ii) IPC 1860",2
"(10) DOWRY PROHIBITION ACT, 1961",2
"(2) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
(3) KARNATAKA RACE BETTING ACT,2
"(1),11(iii) IPC 1860",2
"(s),3(1)(r),3(1)(w)(i) IPC 1860",2
"IA PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2
(C) IPC 1860,2
(1) (v) INFORMATION TECHNOLOGY ACT 2008,2
(5) Prohibition of Child Marriage Act 2006,2
"(A),14(a) (b) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(s),3(1)(z) IPC 1860",2
"(f),376(2)(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(c),3(1)(s) IPC 1860",2
"-1(B) (b),4 NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(14),3(1)(15) IPC 1860",2
"(b),3(1)(r),3(1)(s) IPC 1860",2
"-1(B) (b),4 CODE OF CRIMINAL PROCEDURE, 1973",2
"(f),3(1) (g),3(1) (r),3(1) (s) IPC 1860",2
(ii) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
(r) INFORMATION TECHNOLOGY ACT 2008,2
(3) INFORMATION TECHNOLOGY ACT 2008,2
"(r),3(1) (W) (I) IPC 1860",2
"(ii)(A) ARMS ACT, 1959",2
(r) (s) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,2
"-ii SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"POLICE (INCITEMENT TO DISAFFECTION) ACT, 1922",2
"(q),3(1)(r),3(1)(s) IPC 1860",2
"(r)(s),3(2)(v-a),3(1)(s),3(1)(r) IPC 1860",2
"(L) INDIAN ARMS ACT, 1959",2
"(r),3(1)(s) KARNATAKA LAND REVENUE ACT 1964",2
"A,376 Prohibition of Child Marriage Act 2006",2
"(12),3(2)(5) IPC 1860",2
"(A),4(1) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957",2
"(r),3(1)(s),3(1)(w),3(2)(5) IPC 1860",2
Indian motor,2
(s) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,2
"A,376(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(iiii)(vi) INFORMATION TECHNOLOGY ACT 2000,2
"(f),376(2)(I),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(b) Explosive Rules 2008,2
"(V),3(1)(11) IPC 1860",2
"(n),376(3) CHILD MARRIAGE RESTRAINT ACT",2
(10) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,2
"(n),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(s),3(1)(r),3(1)(w) IPC 1860",2
"(x)(xii),3(2)(5) IPC 1860",2
"(i)(n),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r)(s),3 (1) (v) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"A,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(w),3(2)(v-a),3(2)(V) Prohibition of Child Marriage Act 2006",2
"(i)(n),366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(w),2(v) IPC 1860",2
"B,376(2)(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(v-a),3(1)(11) IPC 1860",2
"(V),3(1)(w)(i)(ii),3(2)(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(za)(A) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(r),3(1)(s),3(2)(V),3(1)(w) IPC 1860",2
"(V),3(1)(10)(11) IPC 1860",2
"(r) (s),3(2)(V)(VA) IPC 1860",2
"B,376(2)(f),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(ii) C,8(c) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(t),3(2)(va) IPC 1860",2
"(10),3(1)(za),3(1)(c),3(1)(s),3(1)(r) IPC 1860",2
"(L) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"[1] [a],3 IPC 1860",2
"(va),3(1)(w),3(1)(r) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(1) The Karnataka Land Grabbing Prohibition Act, 2011",2
"(r)(s),3(1)(s),3(1)(r) IPC 1860",2
"(r),3(1)(s),3(1)(w)(i),3(2)(v-a) IPC 1860",2
"(l),3(1)(r),3(1)(u) IPC 1860",2
"(r)(s),3 (1) (v) IPC 1860",2
"(I),114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(II),6,8,12 CHILD MARRIAGE RESTRAINT ACT",2
"(II),5(L),6,18 Prohibition of Child Marriage Act 2006",2
"(A),11(1) (D) MOTOR VEHICLE ACT, 1954",2
"Karnataka High Speed Diesel Oil (Maintenance of Supplies and Distribution) Order, 1980",2
(xi) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,2
"(II),17 IPC 1860",2
"(r) (s),3(1)(w),3(1)(s),3(1)(r),3(2)(va) IPC 1860",2
"(xi),3(1)(x) IPC 1860",2
"(2) REPRESENTATION OF PEOPLE ACT, 1951 & 1988",2
(ix) IPC 1860,2
"(i)(n),114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(1)(f),3(1)(s) IPC 1860",2
"(r),3(2)(va),3 (2)(v) IPC 1860",2
"(n),506,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"A,376 CHILD MARRIAGE RESTRAINT ACT",2
"A,376(2)(n) CHILD MARRIAGE RESTRAINT ACT",2
"(r) (s),3 (2)(v),3(1)(s),3(1)(r) IPC 1860",2
"(n),366,344,363 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",2
"(V),3(1)(12) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(II),5(L),6 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",2
"(xii),3(2)(V) IPC 1860",2
"(n),420,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(D),11(1) (A) IPC 1860",2
"(f),3(2)(v-a) IPC 1860",2
"A,25 IA IPC 1860",2
"(r),3(2)(va),3(1)(w)(i)(ii) IPC 1860",2
"NOISE POLLUTION (REGULATION & CONTROL) RULES, 2000",2
"(r) (s),3(2)(va),3(1)(s),3(1)(g),3(1)(f),3(1)(r) IPC 1860",2
"-ii INDIAN ARMS ACT, 1959",2
"(r),3(1)(s),3(1)(w)(i)(ii) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
(ii)(A) KARNATAKA PRISONERS ACT - 1963,2
"(a)(vi) KARNATAKA POLICE (AMENDMENT) ACT, 2021",2
"(n),376(3) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(n),366,344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r)(s)(2)(va),3 (2)(v) IPC 1860",2
"(r),3(1)(s),3(1)(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(1)(s),3(2)(V),3(2)(v-a),3(1)(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(n),376(2)(h) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",2
"(za)(D),3(1)(r),3(2)(va),3(1)(za)(C) IPC 1860",2
"(J) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",2
(va) CHILD MARRIAGE RESTRAINT ACT,2
"(r),3(1)(w),3(2)(va) IPC 1860",2
A The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(r),3(1)(s),3(2)(va) DOWRY PROHIBITION ACT, 1961",2
"(f),506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(va),0,3(2)(V) IPC 1860",2
"(a),32(1) IPC 1860",2
(1) (w) (ii) IPC 1860,2
"(n),363,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(n),376(2)(f),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(a)(b) IPC 1860,2
"(w),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(r),3(1)(s) INDIAN ARMS ACT, 1959",2
(w)(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,2
"(r),3(1) (s),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(r),3(1) (s),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(n),506,448 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(a) Central Electricity Authority Regulations 2010,2
"(r),3(1)(s),3(2)(v-a),3(I) IPC 1860",2
"(r),3(1)(s),3(2)(V),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(b) INDIAN MOTOR VEHICLES ACT, 1988",2
"(w)(i)(ii),3(1)(s) IPC 1860",2
"(v-a),3(1)(s),3(1)(r) DOWRY PROHIBITION ACT, 1961",2
"(n),504,506,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(i)(n),376(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r)(s),3(2)(V),3(2)(v-a) IPC 1860",2
"(w)(i)(ii),3(2)(5) Prohibition of Child Marriage Act 2006",2
"(w)(i)(ii),3(2)(V) INFORMATION TECHNOLOGY ACT 2008",2
"(A),146 IPC 1860",2
"(A),181,3(1) IPC 1860",2
"(II),5(i),6,8 IPC 1860",2
"B,376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(A),146,3(1) IPC 1860",2
"(V)(VA),3(1)(w)(i) IPC 1860",2
"(w)(i)(ii),3(2)(V),3(2)(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(V),3(2)(v-a),3(1)(w)(i)(ii) IPC 1860",2
"(d),102 INDIAN MOTOR VEHICLES ACT, 1988",2
"(w)(i)(ii),3(2)(va),3(2) IPC 1860",2
"(6),3(1)(x) IPC 1860",2
"(x),3(1)(xi) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",2
"(i),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
(w)(i) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(iv),509 INFORMATION TECHNOLOGY ACT 2000",2
(r) (iii) IPC 1860,2
(1a) IPC 1860,2
"(W) (I),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(s),3(2)(v-a),3(1)(w),3(1)(r) IPC 1860",2
"(s),3(2)(v-a) DOWRY PROHIBITION ACT, 1961",2
"(r),3(1)(s),3(2)(v-a),3(2)(5) IPC 1860",2
"(r),3(2)(v-a),3(2)(V),3(1)(s) IPC 1860",2
"(r),3(2)(v-a),3(1)(w) IPC 1860",2
"(r),3(2)(V),3(2)(v-a) IPC 1860",2
"(s),3(2)(v-a),3(2)(V) IPC 1860",2
"(n),366(A),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(ii),354(D),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(n),506,363 The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"B,376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(f),376(2)(n),376(2)(h) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(d),102 PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",2
"PREVENTION OF INSULTS TO NATIONAL HONOUR ACT, 1964",2
"(1),504,509 INFORMATION TECHNOLOGY ACT 2000",2
"(va),3(1)(r)(s)(2)(va) IPC 1860",2
"(f),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(s),3(2)(V),3(2)(v-a) IPC 1860",2
(10)(11) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(A),11(1) (E),12 INDIAN MOTOR VEHICLES ACT, 1988",2
"(w),3(1)(r)(s)(2)(va) IPC 1860",2
"(E),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",2
"(r),3(1)(s),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(e),5 KARNATAKA POLICE ACT, 1963",2
"(E) INDIAN MOTOR VEHICLES ACT, 1988",2
"(5),3(1)(r) IPC 1860",2
"(va) EXPLOSIVES ACT, 1884",2
"(va),3(1)(s),3(1)(g),3(1)(r) IPC 1860",2
"(I),376(2)(J),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(E),11(1) (D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",2
"(w)(i)(ii) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",2
"(r),3(1)(s),3(1)(t) IPC 1860",2
KARNATAKA AGRICULTURE MARKING (REGULATION) ACT,2
"(s),3(1)(w),3(2)(va) IPC 1860",2
"(n),366(A) Prohibition of Child Marriage Act 2006",2
(x) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,2
(w)(2) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(5a),3(1)(r)(s) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(va),3(1)(w)(i),3 (1) (w) (ii) IPC 1860",2
(2)(v) Prohibition of Child Marriage Act 2006,2
"(D),11(1) (E) IPC 1860",2
"(ii) A,8(c) IPC 1860",2
"THE PREVENTION OF VIOLENCE AGAINST DOCTORS, MEDICAL PROFESSIONALS AND MEDICAL INSTITUTIONS BILL 2018",2
"(s),3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
The Karnataka Tourism Trade(Facilitation and Regulation) Act 2015,2
(p) IPC 1860,2
A (2) IPC 1860,2
"The Karnataka Ground Water (Regulation and Control of Development and Management) Act, 2011",2
"(va),3(1)(w)(i)(ii),3(1)(r) IPC 1860",2
"l2(V) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
(v-a) Prohibition of Child Marriage Act 2006,2
"(n),420,504,506,34 The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(r),3(1)(w)(i)(ii),3(2)(V) The SC & ST (Prevention of Atrocities) Amendment Act 2015",2
"(r)(s),3 (1) (u) IPC 1860",2
"(11),3(2)(5) IPC 1860",2
"(f),376(2)(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(i)(n),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(h),376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(w)(i)(ii),3(2)(va) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(ii) A INDIAN ARMS ACT, 1959",2
"(I),506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(s),0 IPC 1860",2
"(ii) C CODE OF CRIMINAL PROCEDURE, 1973",2
"(2B)(2C),4(1),3(1),5,3(2A) IPC 1860",2
"(x),3(1)(s) IPC 1860",2
"(ix),3(1)(r) IPC 1860",2
"(n),366 A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
The wakf (Amendment) Act 2013,2
"(i)(n),506 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(i),4,8 ESSENTIAL COMMODITIES ACT, 1955",2
"A,344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(2)(5) IPC 1860",2
"(5a),3(1) (W) (I),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(r),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(n),354(D),342,509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),0 IPC 1860",2
"(w),3(1)(r) IPC 1860",2
"(a),20(b),20(a) (1) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(V),3(1)(r) IPC 1860",2
"(10),3(2)(V),3(1)(r) IPC 1860",2
"(r),3(1)(w)(i),3(2)(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(I),376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(xi),2(v) IPC 1860",2
"(r),3(1)(s),3(2)(V) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",2
"THE KARNATAKA AGRICULTURAL PRODUCE MARKETING (REGULATION) ACT, 1966",2
"(I) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(1),354(D)(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(2)(V),3(1)(s) IPC 1860",2
"A,109,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(A),11(1)(B),11(1) (D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",2
"(I),420 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"B,323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(b)(c),4(1)(c),5,7,7(3) PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",2
(5) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(n),376(2)(J),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(A),22 INDIAN MOTOR VEHICLES ACT, 1988",2
"(A),177,180,181 IPC 1860",2
"(f),3(1)(r),3(1)(s),3(2)(v-a) IPC 1860",2
"(r),3(1)(s),3(1)(w)(i)(ii),3 (2)(v) IPC 1860",2
"(V),3(1)(w)(i) IPC 1860",2
"(r)(s),3(1)(w)(i)(ii) IPC 1860",2
"(a)(vi) PUBLIC GAMBLING ACT, 1867",2
"(10),3(1)(10)(11) IPC 1860",2
"A (1),181 IPC 1860",2
"(r),3(1)(s),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(W) (I),3(1) (s) IPC 1860",2
"(5a),3(1)(r)(s) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
The Petroleum Rules 2002,2
"(r),3(1)(s),3(1)(u) IPC 1860",2
"(r),3(1)(s),3(1)(w) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2
"(r) (s),3(2)(va),3(1)(w) IPC 1860",2
"(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",2
"(r),3(1)(s),3(1)(zc) IPC 1860",2
(X) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(s) INDIAN MOTOR VEHICLES ACT, 1988",2
"(r) (s),3(1)(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",2
"(r),3(1)(h),3(1)(s) IPC 1860",2
"(10),21(1),21(2),21(3),21(4) IPC 1860",2
"(r),3(1)(s),3(1)(f),3(1)(w) IPC 1860",2
"(A),21 MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957",2
"(A),21(1)(1A),21(1),21(2),21(3),21(4),21(4A),21(5) IPC 1860",2
"(f),3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",2
"(b)(c) 4 (1)(a),7 ESSENTIAL COMMODITIES ACT, 1955",2
"(n),376(3),366,363 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",2
(g)(t) IPC 1860,2
"(f),3(1)(r) IPC 1860",2
"(1A),21(4),4(1A) IPC 1860",2
"(1A),21(4A),21(5),4(1A),21(3),21(1),21(2) IPC 1860",2
"(1A),21(4) IPC 1860",2
"(1A),21(5) IPC 1860",2
(11) The SC & ST (Prevention of Atrocities) Amendment Act 2015,2
"(s),3(1) (W) (I) IPC 1860",2
"(w)(1),3(2)(V) IPC 1860",2
"(ii) A ARMS ACT, 1959",2
"RW 20(b)(2a) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(1) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(I)A NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",2
"(V),3(1)(i),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(a) ARMS ACT, 1959",2
"(1A),4(1A) IPC 1860",2
"(E),11(1) (D),11(1) (A) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",2
"(n),313 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",2
"(r),3(1)(s),3(1)(z),3(2)(v-a) IPC 1860",2
"(f),3(1)(g),3(2)(v-a) IPC 1860",2
