src,src_type,dst,dst_type,weight,log_weight,src_community,dst_community
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,248,5.517,6,6
IPC 1860,act,"FOREIGNERS ACT, 1946",act,247,5.513,2,7
IPC 1860,act,"EXPLOSIVE SUBSTANCES ACT, 1908",act,246,5.509,2,8
CONSUMER,crime_head,KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,act,243,5.497,6,6
"KARNATAKA POLICE ACT, 1963",act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,242,5.493,4,4
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,RAPE,crime_head,240,5.485,1,1
"PASSPORTS ACT, 1967",act,PASSPORT ACT,crime_head,240,5.485,7,7
IPC 1860,act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,240,5.485,2,0
IPC 1860,act,"(r),3(1)(s) IPC 1860",act,239,5.481,2,1
IPC 1860,act,CRIMINAL CONSPIRACY,crime_head,237,5.472,2,2
CrPC,crime_head,"KARNATAKA POLICE ACT, 1963",act,237,5.472,0,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNATAKA MOTOR VEHICLE RULE,act,235,5.464,0,0
IPC 1860,act,KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,232,5.451,2,2
Karnataka State Local Act,crime_head,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,232,5.451,0,0
Karnataka State Local Act,crime_head,Transportation of Animal Act 1978,act,231,5.447,0,0
IPC 1860,act,CHIT FUNDS ACT 1982,act,231,5.447,2,2
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,231,5.447,0,0
IPC 1860,act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,230,5.442,2,7
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(r)(s) IPC 1860,act,227,5.429,1,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r),3(1)(s),3(2)(va) IPC 1860",act,224,5.416,1,1
Karnataka State Local Act,crime_head,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,223,5.412,0,4
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(10) IPC 1860,act,223,5.412,1,1
"KARNATAKA EXCISE ACT, 1965",act,"THE DISASTER MANAGEMENT ACT, 2005",act,222,5.407,4,4
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,220,5.398,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,220,5.398,0,0
IPC 1860,act,"PASSPORTS ACT, 1967",act,219,5.394,2,7
MISCHIEF,crime_head,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,218,5.389,5,5
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,"(r),3(1)(s),3(2)(v-a) IPC 1860",act,218,5.389,1,1
MISCHIEF,crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,217,5.384,5,5
"FOREIGNERS ACT, 1946",act,"PASSPORTS ACT, 1967",act,215,5.375,7,7
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(10) IPC 1860,act,213,5.366,1,1
MOTOR VEHICLE ACCIDENTS FATAL,crime_head,"THE CENTRAL MOTOR VEHICLES RULES, 1989",act,210,5.352,0,0
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r),3(1)(s),3(2)(v-a) IPC 1860",act,210,5.352,1,1
"ESSENTIAL COMMODITIES ACT, 1955",act,KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,act,206,5.333,6,6
PUBLIC SAFETY,crime_head,"EPIDEMIC DISEASES ACT, 1897",act,202,5.313,4,4
KARNATAKA FOREST ACT 1963,act,KARNATAKA FOREST RULES,act,201,5.308,0,0
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(V) IPC 1860,act,200,5.303,1,1
IPC 1860,act,"JUVENILE JUSTICE ACT, 2000",act,200,5.303,2,3
"KARNATAKA POLICE ACT, 1963",act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,199,5.298,4,0
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,"(r),3(1)(s),3(2)(va) IPC 1860",act,198,5.293,1,1
IPC 1860,act,"EXPLOSIVES ACT, 1884",act,198,5.293,2,8
RIOTS,crime_head,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,197,5.288,5,5
IPC 1860,act,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",act,196,5.283,2,2
ANIMAL,crime_head,Transportation of Animal Act 1978,act,194,5.273,0,0
"CODE OF CRIMINAL PROCEDURE, 1973",act,"(d),102 KARNATAKA POLICE ACT, 1963",act,193,5.268,0,0
IPC 1860,act,LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,act,193,5.268,2,6
THEFT,crime_head,"(d),102 IPC 1860",act,192,5.263,0,0
THEFT,crime_head,KARNATAKA FOREST ACT 1963,act,192,5.263,0,0
ATTEMPT TO MURDER,crime_head,"INDIAN ARMS ACT, 1959",act,192,5.263,5,5
"INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,191,5.257,0,0
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,189,5.247,1,1
IPC 1860,act,"Rules Of The Roads Regulations, 1989",act,187,5.236,2,0
IPC 1860,act,KARNATAKA FOREST RULES,act,186,5.231,2,0
"ESSENTIAL COMMODITIES ACT, 1955",act,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,182,5.209,6,6
Karnataka State Local Act,crime_head,LOTTERY REGULATION ACT 1998,act,181,5.204,0,0
"ESSENTIAL COMMODITIES ACT, 1955",act,LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,act,181,5.204,6,6
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,180,5.198,0,0
KARNATAKA POLICE ACT 1963,crime_head,"THE DISASTER MANAGEMENT ACT, 2005",act,180,5.198,4,4
CrPC,crime_head,"(d),102 IPC 1860",act,179,5.193,0,0
INFORMATION TECHNOLOGY ACT 2000,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,178,5.187,2,3
IPC 1860,act,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,177,5.182,2,6
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,(r)(s) IPC 1860,act,175,5.17,1,1
CHEATING,crime_head,INFORMATION TECHNOLOGY ACT 2008,act,175,5.17,2,2
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,174,5.165,1,1
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,The Central Motor Vehicle Rules 2015,act,174,5.165,0,0
RIOTS,crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,174,5.165,5,5
MURDER,crime_head,The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,173,5.159,1,1
INFORMATION TECHNOLOGY ACT 2000,act,POCSO,crime_head,172,5.153,2,3
IPC 1860,act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,171,5.147,2,7
"INDIAN MOTOR VEHICLES ACT, 1988",act,"MOTOR VEHICLE ACT, 1954",act,168,5.13,0,0
IPC 1860,act,(V) IPC 1860,act,167,5.124,2,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,166,5.118,1,1
"KARNATAKA EXCISE ACT, 1965",act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,166,5.118,4,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,DEATHS DUE TO RASHNESS/NEGLIGENCE,crime_head,166,5.118,0,0
"KARNATAKA POLICE ACT, 1963",act,"(d),102 IPC 1860",act,165,5.112,4,0
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(s),3(1)(r) IPC 1860",act,165,5.112,1,1
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,164,5.106,4,4
IPC 1860,act,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,164,5.106,2,1
IPC 1860,act,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",act,163,5.1,2,4
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,162,5.094,5,5
THEFT,crime_head,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,161,5.088,0,0
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,161,5.088,1,1
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,159,5.075,5,5
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,The Central Motor Vehicle Rules 2015,act,156,5.056,0,0
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(va) IPC 1860,act,156,5.056,1,1
IPC 1860,act,ADULTERATION,crime_head,155,5.05,2,4
IPC 1860,act,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,154,5.043,2,3
IPC 1860,act,POISONING-PROFESSIONAL,crime_head,153,5.037,2,2
Karnataka State Local Act,crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,153,5.037,0,5
POCSO,crime_head,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,152,5.03,3,3
"THE DISASTER MANAGEMENT ACT, 2005",act,"EPIDEMIC DISEASES ACT, 1897",act,151,5.024,4,4
CHEATING,crime_head,CHIT FUNDS ACT 1982,act,151,5.024,2,2
"INDIAN MOTOR VEHICLES ACT, 1988",act,"Rules Of The Roads Regulations, 1989",act,150,5.017,0,0
IPC 1860,act,The banning of unregulated deposit schemes act 2019,act,150,5.017,2,2
EXPLOSIVES,crime_head,"EXPLOSIVES ACT, 1884",act,149,5.011,8,8
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,KARNATAKA NEW SAND POLICY 2011,act,148,5.004,0,0
INFORMATION TECHNOLOGY ACT 2008,act,POCSO,crime_head,148,5.004,2,3
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,147,4.997,0,0
Karnataka State Local Act,crime_head,Private Security Regulation act 2005,act,146,4.99,0,0
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,145,4.984,0,0
IPC 1860,act,"RAILWAYS ACT, 1989",act,145,4.984,2,5
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(va) IPC 1860,act,145,4.984,1,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(r) IPC 1860,act,144,4.977,1,1
IPC 1860,act,"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,144,4.977,2,3
IPC 1860,act,"(s),3(1)(r) IPC 1860",act,143,4.97,2,1
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,"Karnataka Prevention of Damage to Public Property Act, 1984",act,143,4.97,5,5
"KARNATAKA EXCISE ACT, 1965",act,PUBLIC SAFETY,crime_head,143,4.97,4,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,142,4.963,0,5
POCSO,crime_head,"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,142,4.963,3,3
"KARNATAKA POLICE ACT, 1963",act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",act,141,4.956,4,4
Karnataka State Local Act,crime_head,KARNATAKA FOREST RULES,act,140,4.949,0,0
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,"FOREIGNERS ACT, 1946",act,139,4.942,7,7
INFORMATION TECHNOLOGY ACT 2008,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,139,4.942,2,3
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,KARNATAKA MOTOR VEHICLE RULE,act,139,4.942,0,0
IPC 1860,act,"(d),102 KARNATAKA POLICE ACT, 1963",act,139,4.942,2,0
IPC 1860,act,"WILD LIFE (PROTECTION) ACT, 1972",act,139,4.942,2,5
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,CHILD MARRIAGE RESTRAINT ACT,act,139,4.942,3,3
FOREIGNER,crime_head,"PASSPORTS ACT, 1967",act,138,4.934,7,7
IPC 1860,act,"(r),3(1)(s),3(2)(va) IPC 1860",act,138,4.934,2,1
"KARNATAKA POLICE ACT, 1963",act,PUBLIC NUISANCE,crime_head,138,4.934,4,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,"KARNATAKA POLICE ACT, 1963",act,138,4.934,0,4
IPC 1860,act,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,137,4.927,2,0
Karnataka State Local Act,crime_head,"KARNATAKA PROHIBITION OF BEGGARY ACT, 1975",act,137,4.927,0,0
INDIAN ELECTRICITY ACT (AMEND.) 2003,act,INDIAN ELECTRICITY ACT,crime_head,137,4.927,0,0
IPC 1860,act,KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,act,134,4.905,2,0
IPC 1860,act,INDIAN ELECTRICITY ACT,crime_head,134,4.905,2,0
IPC 1860,act,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,133,4.898,2,6
IPC 1860,act,(10) IPC 1860,act,133,4.898,2,1
ELECTION,crime_head,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",act,132,4.89,4,4
KARNATAKA FOREST ACT 1963,act,FOREST,crime_head,131,4.883,0,0
THEFT,crime_head,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,130,4.875,0,0
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,128,4.86,5,5
IPC 1860,act,"The Muslim Women(Protection of Rights on Marriage) Act, 2019",act,127,4.852,2,2
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(v-a) IPC 1860,act,126,4.844,1,1
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",act,124,4.828,5,5
MOTOR VEHICLE ACCIDENTS FATAL,crime_head,"MOTOR VEHICLE ACT, 1954",act,122,4.812,0,0
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,122,4.812,1,1
IPC 1860,act,(r)(s) IPC 1860,act,121,4.804,2,1
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,120,4.796,0,0
"THE DISASTER MANAGEMENT ACT, 2005",act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,119,4.787,4,4
Karnataka State Local Act,crime_head,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,118,4.779,0,0
POCSO,crime_head,"Juvenile Justice (Care and Protection of Children) Act, 2015",act,117,4.771,3,3
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,117,4.771,0,0
Karnataka State Local Act,crime_head,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,117,4.771,0,5
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",act,BONDED LABOUR SYSTEM,crime_head,117,4.771,2,2
"KARNATAKA POLICE ACT, 1963",act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,117,4.771,4,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"Juvenile Justice (Care and Protection of Children) Act, 2015",act,116,4.762,3,3
IPC 1860,act,The Karnataka Protection of Interest Depositors in Financial Establishment Act 2004,act,116,4.762,2,2
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(r)(s)(2)(va) IPC 1860,act,116,4.762,1,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(r)(s)(2)(va) IPC 1860,act,115,4.754,1,1
Karnataka State Local Act,crime_head,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,114,4.745,0,0
ANIMAL,crime_head,"WILD LIFE (PROTECTION) ACT, 1972",act,114,4.745,0,5
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,113,4.736,0,0
IPC 1860,act,FOREST,crime_head,112,4.727,2,0
IPC 1860,act,"(r),3(1)(s),3(2)(v-a) IPC 1860",act,112,4.727,2,1
POCSO,crime_head,(II) IPC 1860,act,112,4.727,3,3
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(V) IPC 1860,act,111,4.718,1,1
IPC 1860,act,CRIMINAL MISAPPROPRIATION,crime_head,111,4.718,2,2
MISCHIEF,crime_head,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,111,4.718,5,5
IPC 1860,act,(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,111,4.718,2,0
Karnataka State Local Act,crime_head,The Central Motor Vehicle Rules 2015,act,110,4.71,0,0
IPC 1860,act,FOREIGNER,crime_head,110,4.71,2,7
CHEATING,crime_head,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",act,110,4.71,2,2
ANIMAL,crime_head,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,110,4.71,0,0
CHILDREN ACT,crime_head,"JUVENILE JUSTICE ACT, 2000",act,110,4.71,3,3
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(x) IPC 1860,act,110,4.71,1,1
CHEATING,crime_head,KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,110,4.71,2,2
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,109,4.7,0,0
IPC 1860,act,PORNOGRAPHY,crime_head,109,4.7,2,2
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(x) IPC 1860,act,108,4.691,1,1
CrPC,crime_head,"(d),102 KARNATAKA POLICE ACT, 1963",act,108,4.691,0,0
IPC 1860,act,(va) IPC 1860,act,108,4.691,2,1
IPC 1860,act,DEATHS-MISCARRIAGE,crime_head,107,4.682,2,2
IPC 1860,act,(II) IPC 1860,act,107,4.682,2,3
IPC 1860,act,The Banning of Unregulated Deposit Schemes Ordinance 2019,act,107,4.682,2,2
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,"(s),3(1)(r) IPC 1860",act,107,4.682,1,1
MURDER,crime_head,"ARMS ACT, 1959",act,107,4.682,1,5
IPC 1860,act,PASSPORT ACT,crime_head,107,4.682,2,7
IPC 1860,act,"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,107,4.682,2,3
Transportation of Animal Act 1978,act,The Central Motor Vehicle Rules 2015,act,106,4.673,0,0
POCSO,crime_head,"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,106,4.673,3,3
"KARNATAKA POLICE ACT, 1963",act,"KARNATAKA EXCISE ACT, 1965",act,105,4.663,4,4
IPC 1860,act,(v-a) IPC 1860,act,104,4.654,2,1
IPC 1860,act,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",act,104,4.654,2,3
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",act,103,4.644,6,6
IPC 1860,act,Human Trafficking,crime_head,103,4.644,2,2
POCSO,crime_head,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,102,4.635,3,1
CHEATING,crime_head,The banning of unregulated deposit schemes act 2019,act,102,4.635,2,2
IPC 1860,act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,102,4.635,2,0
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",act,101,4.625,6,6
IPC 1860,act,"ENVIRONMENT (PROTECTION) ACT, 1986",act,101,4.625,2,0
CONSUMER,crime_head,"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",act,100,4.615,6,6
Karnataka State Local Act,crime_head,(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,100,4.615,0,0
DACOITY,crime_head,"INDIAN ARMS ACT, 1959",act,100,4.615,5,5
CHEATING,crime_head,"ESSENTIAL COMMODITIES ACT, 1955",act,99,4.605,2,6
"KARNATAKA POLICE ACT, 1963",act,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,99,4.605,4,4
"DOWRY PROHIBITION ACT, 1961",act,MURDER,crime_head,99,4.605,2,1
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,The Central Motor Vehicle Rules 2015,act,98,4.595,0,0
IPC 1860,act,DEFAMATION,crime_head,98,4.595,2,2
"FOREIGNERS ACT, 1946",act,"REGISTRATION OF FOREIGNERS ACT, 1939",act,97,4.585,7,7
IPC 1860,act,"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",act,97,4.585,2,2
IPC 1860,act,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,97,4.585,2,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,97,4.585,3,1
IPC 1860,act,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),crime_head,96,4.575,2,2
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,96,4.575,5,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,crime_head,96,4.575,0,0
CONSUMER,crime_head,"GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",act,95,4.564,6,6
Karnataka State Local Act,crime_head,KARNATAKA LOTTERY AND PRIZE COMPITATION CONTROL AND TAX ACT 1951,act,95,4.564,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,94,4.554,0,0
"PASSPORTS ACT, 1967",act,(B) IPC 1860,act,94,4.554,7,7
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(s) IPC 1860,act,94,4.554,1,1
CHILDREN ACT,crime_head,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,94,4.554,3,3
CRIMINAL BREACH OF TRUST,crime_head,KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,93,4.543,2,2
Transportation of Animal Act 1978,act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,93,4.543,0,0
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(v-a) IPC 1860,act,93,4.543,1,1
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,93,4.543,3,3
CHEATING,crime_head,The Karnataka Protection of Interest Depositors in Financial Establishment Act 2004,act,93,4.543,2,2
IPC 1860,act,The Karnataka Prisons (Amendment) Act-2022,act,92,4.533,2,0
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,"Rules Of The Roads Regulations, 1989",act,91,4.522,0,0
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,91,4.522,5,5
MOTOR VEHICLE ACCIDENTS FATAL,crime_head,"Rules Of The Roads Regulations, 1989",act,91,4.522,0,0
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(II) IPC 1860,act,91,4.522,3,3
"INDIAN MOTOR VEHICLES ACT, 1988",act,INDIAN MOTOR VEHICLE,crime_head,90,4.511,0,0
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,RAPE,crime_head,90,4.511,1,1
IPC 1860,act,INDIAN MOTOR VEHICLE,crime_head,90,4.511,2,0
KARNATAKA POLICE ACT 1963,crime_head,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,90,4.511,4,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,CASES OF HURT,crime_head,89,4.5,0,5
"DOWRY PROHIBITION ACT, 1961",act,SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,89,4.5,2,1
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,RAPE,crime_head,88,4.489,3,1
POCSO,crime_head,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,88,4.489,3,1
"MOTOR VEHICLE ACT, 1954",act,"/181 INDIAN MOTOR VEHICLES ACT, 1988",act,88,4.489,0,0
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,(D) IPC 1860,act,88,4.489,0,0
INFORMATION TECHNOLOGY ACT 2000,act,MOLESTATION,crime_head,88,4.489,2,2
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,88,4.489,3,1
