src_type,src,dst_type,dst,weight
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,KARNATAKA MOTOR VEHICLE RULE,235
crime_head,NEGLIGENT ACT,district,Kalaburagi City,235
crime_head,CRIMINAL INTIMIDATION,district,Davanagere,234
crime_head,MURDER,district,Kolar,234
crime_head,PUBLIC SAFETY,district,Hubballi-Dharwad City,233
crime_head,Karnataka State Local Act,act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,232
act,IPC 1860,act,KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,232
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Ballari,232
crime_head,BURGLARY - DAY,district,Chikkamagaluru,232
crime_head,ROBBERY,district,Chitradurga,232
crime_head,SUICIDE,district,Shivamogga,232
crime_head,Karnataka State Local Act,act,Transportation of Animal Act 1978,231
act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",231
act,CHIT FUNDS ACT 1982,act,IPC 1860,231
crime_head,MURDER,district,Kalaburagi City,231
crime_head,CRUELTY BY HUSBAND,district,Mangaluru City,231
act,IPC 1860,act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",230
crime_head,CRIMINAL TRESPASS,district,Chitradurga,230
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Mysuru City,230
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Chitradurga,228
crime_head,MURDER,district,Davanagere,228
crime_head,SUICIDE,district,Hassan,228
crime_head,POCSO,district,Hubballi-Dharwad City,228
crime_head,SUICIDE,district,Tumakuru,228
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(r)(s) IPC 1860,227
crime_head,NEGLIGENT ACT,district,Hassan,226
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(r),3(1)(s),3(2)(va) IPC 1860",224
crime_head,CRIMINAL BREACH OF TRUST,district,Uttara Kannada,224
crime_head,Karnataka State Local Act,act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",223
act,(10) IPC 1860,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",223
crime_head,ROBBERY,district,Belagavi,223
crime_head,CHEATING,district,K.G.F,223
crime_head,Disobedience to Order Promulgated by PublicServan,district,Mandya,223
act,"KARNATAKA EXCISE ACT, 1965",act,"THE DISASTER MANAGEMENT ACT, 2005",222
crime_head,CHEATING,district,Kalaburagi,222
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Mangaluru City,222
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,220
act,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",220
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Kalaburagi,220
act,IPC 1860,act,"PASSPORTS ACT, 1967",219
crime_head,BURGLARY - DAY,district,Belagavi,219
crime_head,CRIMINAL INTIMIDATION,district,Kalaburagi City,219
crime_head,MISCHIEF,act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",218
act,"(r),3(1)(s),3(2)(v-a) IPC 1860",act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",218
crime_head,MOLESTATION,district,K.G.F,218
crime_head,CYBER CRIME,district,Kolar,218
crime_head,CYBER CRIME,district,Mysuru,218
crime_head,MISCHIEF,act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,217
crime_head,ATTEMPT TO MURDER,district,Dakshina Kannada,217
crime_head,POCSO,district,Dharwad,217
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Kodagu,217
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Kalaburagi City,216
act,"FOREIGNERS ACT, 1946",act,"PASSPORTS ACT, 1967",215
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Uttara Kannada,215
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Dakshina Kannada,214
crime_head,KIDNAPPING AND ABDUCTION,district,Udupi,214
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(10) IPC 1860,213
crime_head,PUBLIC SAFETY,district,Bengaluru Rural,213
crime_head,PASSPORT ACT,district,Bengaluru City,212
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Davanagere,212
crime_head,ROBBERY,district,Belagavi City,211
crime_head,CYBER CRIME,district,Dakshina Kannada,211
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Dharwad,211
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Gadag,211
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,act,"THE CENTRAL MOTOR VEHICLES RULES, 1989",210
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(r),3(1)(s),3(2)(v-a) IPC 1860",210
crime_head,NEGLIGENT ACT,district,Chikkaballapura,209
crime_head,CRIMINAL BREACH OF TRUST,district,Mysuru City,209
crime_head,CRIMINAL TRESPASS,district,Ballari,208
crime_head,ANIMAL,district,Mandya,208
crime_head,DACOITY,district,Ramanagara,208
crime_head,CYBER CRIME,district,Vijayapura,208
crime_head,POCSO,district,K.G.F,207
crime_head,CRUELTY BY HUSBAND,district,Kodagu,207
act,"ESSENTIAL COMMODITIES ACT, 1955",act,KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,206
crime_head,CYBER CRIME,district,Belagavi,206
crime_head,MISCHIEF,district,Mandya,206
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Chamarajanagar,205
crime_head,CRIMES RELATED TO WOMEN,district,Bidar,204
crime_head,MURDER,district,Kodagu,203
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Mysuru City,203
crime_head,PUBLIC SAFETY,act,"EPIDEMIC DISEASES ACT, 1897",202
crime_head,MURDER,district,Chikkamagaluru,202
crime_head,BURGLARY - DAY,district,Mysuru,202
crime_head,ROBBERY,district,Udupi,202
act,KARNATAKA FOREST ACT 1963,act,KARNATAKA FOREST RULES,201
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Bengaluru City,201
crime_head,MURDER,district,Chitradurga,201
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Haveri,201
act,(V) IPC 1860,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",200
act,IPC 1860,act,"JUVENILE JUSTICE ACT, 2000",200
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Hubballi-Dharwad City,200
act,"KARNATAKA POLICE ACT, 1963",act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",199
act,"(r),3(1)(s),3(2)(va) IPC 1860",act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,198
act,"EXPLOSIVES ACT, 1884",act,IPC 1860,198
crime_head,PUBLIC SAFETY,district,Uttara Kannada,198
crime_head,RIOTS,act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",197
crime_head,ROBBERY,district,Chikkaballapura,197
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Kalaburagi,197
act,IPC 1860,act,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",196
crime_head,DACOITY,district,Shivamogga,196
crime_head,KIDNAPPING AND ABDUCTION,district,Chamarajanagar,195
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Kolar,195
crime_head,ANIMAL,act,Transportation of Animal Act 1978,194
act,"(d),102 KARNATAKA POLICE ACT, 1963",act,"CODE OF CRIMINAL PROCEDURE, 1973",193
act,IPC 1860,act,LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,193
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Chamarajanagar,193
crime_head,KIDNAPPING AND ABDUCTION,district,Gadag,193
crime_head,ATTEMPT TO MURDER,act,"INDIAN ARMS ACT, 1959",192
crime_head,THEFT,act,KARNATAKA FOREST ACT 1963,192
crime_head,THEFT,act,"(d),102 IPC 1860",192
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Chikkaballapura,192
crime_head,MISSING PERSON,district,Karnataka Railways,192
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,191
crime_head,MURDER,district,Ballari,191
crime_head,FORGERY,district,Belagavi,191
crime_head,CRIMINAL INTIMIDATION,district,Hubballi-Dharwad City,191
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Vijayapura,191
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Chamarajanagar,190
act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,189
crime_head,POCSO,district,Gadag,189
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Dakshina Kannada,188
crime_head,CONSUMER,district,Davanagere,188
crime_head,KIDNAPPING AND ABDUCTION,district,Yadgir,188
act,IPC 1860,act,"Rules Of The Roads Regulations, 1989",187
crime_head,CRIMES RELATED TO WOMEN,district,Kalaburagi,187
crime_head,MURDER,district,Mysuru City,187
act,IPC 1860,act,KARNATAKA FOREST RULES,186
crime_head,RAPE,district,Belagavi,186
crime_head,CRIMES RELATED TO WOMEN,district,Kolar,186
crime_head,CRUELTY BY HUSBAND,district,Chamarajanagar,185
crime_head,AFFRAY,district,Mysuru,185
crime_head,Disobedience to Order Promulgated by PublicServan,district,Chamarajanagar,184
crime_head,CRIMES RELATED TO WOMEN,district,Haveri,184
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Kolar,184
crime_head,CRIMES RELATED TO WOMEN,district,Chikkaballapura,183
crime_head,AFFRAY,district,Hubballi-Dharwad City,183
crime_head,ROBBERY,district,Kolar,183
crime_head,NEGLIGENT ACT,district,Vijayanagara,183
act,"ESSENTIAL COMMODITIES ACT, 1955",act,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,182
crime_head,POCSO,district,Belagavi City,182
crime_head,FORGERY,district,Bengaluru Rural,182
crime_head,NEGLIGENT ACT,district,Davanagere,182
crime_head,Karnataka State Local Act,act,LOTTERY REGULATION ACT 1998,181
act,"ESSENTIAL COMMODITIES ACT, 1955",act,LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,181
crime_head,CRIMES RELATED TO WOMEN,district,Bagalkote,181
crime_head,PUBLIC SAFETY,district,Kolar,181
crime_head,KARNATAKA POLICE ACT 1963,act,"THE DISASTER MANAGEMENT ACT, 2005",180
act,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",180
crime_head,CRIMINAL INTIMIDATION,district,Bagalkote,180
crime_head,ROBBERY,district,Vijayapura,180
crime_head,CrPC,act,"(d),102 IPC 1860",179
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Mysuru,179
act,INFORMATION TECHNOLOGY ACT 2000,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,178
crime_head,CRUELTY BY HUSBAND,district,Gadag,178
crime_head,FORGERY,district,Tumakuru,178
crime_head,ATTEMPT TO MURDER,district,Udupi,178
act,IPC 1860,act,KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,177
crime_head,CRIMINAL INTIMIDATION,district,Ballari,176
crime_head,AFFRAY,district,Bidar,176
crime_head,CRIMINAL TRESPASS,district,Uttara Kannada,176
crime_head,CHEATING,act,INFORMATION TECHNOLOGY ACT 2008,175
act,(r)(s) IPC 1860,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,175
crime_head,RIOTS,act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,174
act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,The Central Motor Vehicle Rules 2015,174
act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,174
crime_head,CRIMES RELATED TO WOMEN,district,Mangaluru City,174
crime_head,CRIMINAL TRESPASS,district,Mangaluru City,174
crime_head,MURDER,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,173
crime_head,NEGLIGENT ACT,district,Mandya,173
crime_head,POCSO,act,INFORMATION TECHNOLOGY ACT 2000,172
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Belagavi City,172
act,IPC 1860,act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",171
crime_head,CRIMINAL TRESPASS,district,Bagalkote,171
crime_head,CRUELTY BY HUSBAND,district,Dakshina Kannada,171
crime_head,ROBBERY,district,Chikkamagaluru,170
crime_head,CYBER CRIME,district,CID,170
crime_head,MURDER,district,Haveri,170
crime_head,CRIMINAL TRESPASS,district,Vijayapura,170
crime_head,PUBLIC SAFETY,district,Bidar,169
crime_head,SUICIDE,district,Chitradurga,169
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,"MOTOR VEHICLE ACT, 1954",168
crime_head,SUICIDE,district,Chikkaballapura,168
crime_head,KIDNAPPING AND ABDUCTION,district,Dakshina Kannada,168
crime_head,CONSUMER,district,Vijayapura,168
act,(V) IPC 1860,act,IPC 1860,167
crime_head,NEGLIGENT ACT,district,Haveri,167
crime_head,BURGLARY - DAY,district,Kodagu,167
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,act,"INDIAN MOTOR VEHICLES ACT, 1988",166
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",166
act,"KARNATAKA EXCISE ACT, 1965",act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",166
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Bidar,166
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Kalaburagi City,166
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Vijayanagara,166
crime_head,BURGLARY - DAY,district,Vijayapura,166
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(s),3(1)(r) IPC 1860",165
act,"(d),102 IPC 1860",act,"KARNATAKA POLICE ACT, 1963",165
crime_head,MURDER,district,Belagavi City,165
crime_head,PUBLIC SAFETY,district,Ramanagara,165
act,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,IPC 1860,164
act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",164
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Ballari,164
crime_head,CONSUMER,district,Belagavi,164
crime_head,CONSUMER,district,Vijayanagara,164
act,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",act,IPC 1860,163
crime_head,Disobedience to Order Promulgated by PublicServan,district,Belagavi,163
crime_head,MURDER,district,Dharwad,163
crime_head,ATTEMPT TO MURDER,district,K.G.F,163
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",162
crime_head,ROBBERY,district,Ballari,162
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,K.G.F,162
crime_head,SUICIDE,district,Ramanagara,162
crime_head,THEFT,act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,161
act,"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,161
crime_head,CRUELTY BY HUSBAND,district,Dharwad,161
crime_head,SUICIDE,district,Bidar,160
crime_head,PUBLIC SAFETY,district,Tumakuru,160
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",159
crime_head,ELECTION,district,Chikkaballapura,159
crime_head,MURDER,district,Hubballi-Dharwad City,159
crime_head,CRIMINAL INTIMIDATION,district,K.G.F,159
crime_head,MURDER,district,Yadgir,159
crime_head,Disobedience to Order Promulgated by PublicServan,district,Tumakuru,158
crime_head,CRIMINAL INTIMIDATION,district,Vijayanagara,158
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Bagalkote,157
crime_head,CRIMINAL TRESPASS,district,Dakshina Kannada,157
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Koppal,157
crime_head,DACOITY,district,Tumakuru,157
act,(va) IPC 1860,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,156
act,KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,The Central Motor Vehicle Rules 2015,156
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Ballari,156
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Bengaluru City,156
crime_head,PUBLIC NUISANCE,district,Bengaluru City,156
crime_head,SUICIDE,district,Davanagere,156
crime_head,BURGLARY - DAY,district,Kalaburagi City,156
crime_head,ADULTERATION,act,IPC 1860,155
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Bengaluru City,155
act,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,IPC 1860,154
crime_head,POISONING-PROFESSIONAL,act,IPC 1860,153
crime_head,Karnataka State Local Act,act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,153
crime_head,IMMORAL TRAFFIC,district,Mysuru City,153
crime_head,POCSO,act,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,152
crime_head,NEGLIGENT ACT,district,Mysuru,152
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Shivamogga,152
crime_head,CHEATING,act,CHIT FUNDS ACT 1982,151
act,"EPIDEMIC DISEASES ACT, 1897",act,"THE DISASTER MANAGEMENT ACT, 2005",151
crime_head,NEGLIGENT ACT,district,Kalaburagi,151
crime_head,CRIMINAL TRESPASS,district,Yadgir,151
act,IPC 1860,act,The banning of unregulated deposit schemes act 2019,150
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,"Rules Of The Roads Regulations, 1989",150
crime_head,BURGLARY - DAY,district,Bagalkote,150
crime_head,EXPLOSIVES,act,"EXPLOSIVES ACT, 1884",149
crime_head,CRIMES RELATED TO WOMEN,district,Chikkamagaluru,149
crime_head,CRIMES RELATED TO WOMEN,district,Mysuru,149
crime_head,POCSO,act,INFORMATION TECHNOLOGY ACT 2008,148
act,KARNATAKA NEW SAND POLICY 2011,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,148
crime_head,CYBER CRIME,district,Bidar,148
crime_head,CYBER CRIME,district,Gadag,148
crime_head,PUBLIC SAFETY,district,Haveri,148
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Kodagu,148
crime_head,CRUELTY BY HUSBAND,district,Kolar,148
crime_head,RAPE,district,Raichur,148
act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,147
crime_head,NEGLIGENT ACT,district,Yadgir,147
crime_head,Karnataka State Local Act,act,Private Security Regulation act 2005,146
crime_head,ELECTION,district,Bagalkote,146
crime_head,BURGLARY - DAY,district,Chitradurga,146
crime_head,ARSON,district,Hassan,146
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Hubballi-Dharwad City,146
crime_head,ARSON,district,Shivamogga,146
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(va) IPC 1860,145
act,KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,145
act,IPC 1860,act,"RAILWAYS ACT, 1989",145
crime_head,KIDNAPPING AND ABDUCTION,district,Dharwad,145
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(r) IPC 1860,144
act,"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,IPC 1860,144
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Udupi,144
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,act,"Karnataka Prevention of Damage to Public Property Act, 1984",143
crime_head,PUBLIC SAFETY,act,"KARNATAKA EXCISE ACT, 1965",143
act,"(s),3(1)(r) IPC 1860",act,IPC 1860,143
crime_head,SUICIDE,district,Chikkamagaluru,143
crime_head,PUBLIC SAFETY,district,Kodagu,143
crime_head,POCSO,act,"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",142
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,"INDIAN MOTOR VEHICLES ACT, 1988",142
crime_head,MURDER,district,Chamarajanagar,142
crime_head,BURGLARY - DAY,district,Hubballi-Dharwad City,142
crime_head,CASES OF HURT,district,Karnataka Railways,142
crime_head,SUICIDE,district,Mysuru City,142
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Shivamogga,142
act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",act,"KARNATAKA POLICE ACT, 1963",141
crime_head,CRIMES RELATED TO WOMEN,district,Belagavi City,141
crime_head,CRIMINAL TRESPASS,district,Hubballi-Dharwad City,141
crime_head,RAPE,district,Shivamogga,141
crime_head,CONSUMER,district,Shivamogga,141
crime_head,Karnataka State Local Act,act,KARNATAKA FOREST RULES,140
crime_head,BURGLARY - DAY,district,Ballari,140
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Mysuru City,140
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,KARNATAKA MOTOR VEHICLE RULE,139
act,IPC 1860,act,"WILD LIFE (PROTECTION) ACT, 1972",139
act,INFORMATION TECHNOLOGY ACT 2008,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,139
act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,CHILD MARRIAGE RESTRAINT ACT,139
act,"(d),102 KARNATAKA POLICE ACT, 1963",act,IPC 1860,139
act,"FOREIGNERS ACT, 1946",act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",139
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Kalaburagi City,139
crime_head,CYBER CRIME,district,Raichur,139
crime_head,SUICIDE,district,Raichur,139
crime_head,NEGLIGENT ACT,district,Shivamogga,139
crime_head,NEGLIGENT ACT,district,Uttara Kannada,139
crime_head,PUBLIC NUISANCE,act,"KARNATAKA POLICE ACT, 1963",138
crime_head,FOREIGNER,act,"PASSPORTS ACT, 1967",138
act,"(r),3(1)(s),3(2)(va) IPC 1860",act,IPC 1860,138
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,"KARNATAKA POLICE ACT, 1963",138
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,district,Belagavi City,138
crime_head,CONSUMER,district,Kalaburagi,138
crime_head,MISCHIEF,district,Mangaluru City,138
crime_head,PUBLIC SAFETY,district,Mysuru City,138
crime_head,MURDER,district,Uttara Kannada,138
crime_head,SUICIDE,district,Vijayapura,138
crime_head,Karnataka State Local Act,act,"KARNATAKA PROHIBITION OF BEGGARY ACT, 1975",137
crime_head,INDIAN ELECTRICITY ACT,act,INDIAN ELECTRICITY ACT (AMEND.) 2003,137
act,IPC 1860,act,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,137
crime_head,CONSUMER,district,Bagalkote,137
crime_head,CRIMES RELATED TO WOMEN,district,Udupi,137
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Chitradurga,136
crime_head,PUBLIC SAFETY,district,Dakshina Kannada,136
crime_head,MURDER,district,Mangaluru City,136
crime_head,ELECTION,district,Tumakuru,136
crime_head,ROBBERY,district,Uttara Kannada,136
crime_head,COUNTERFEITING,district,Bengaluru City,135
crime_head,AFFRAY,district,Shivamogga,135
crime_head,INDIAN ELECTRICITY ACT,act,IPC 1860,134
act,IPC 1860,act,KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,134
crime_head,NEGLIGENT ACT,district,Chamarajanagar,134
crime_head,MURDER,district,Koppal,134
act,(10) IPC 1860,act,IPC 1860,133
act,IPC 1860,act,Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,133
crime_head,RAPE,district,Bengaluru Rural,133
crime_head,CRIMINAL TRESPASS,district,Kalaburagi City,133
crime_head,BURGLARY - DAY,district,Raichur,133
crime_head,ANIMAL,district,Shivamogga,133
crime_head,FORGERY,district,Uttara Kannada,133
crime_head,ELECTION,act,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",132
crime_head,BURGLARY - DAY,district,Koppal,132
crime_head,ELECTION,district,Raichur,132
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Shivamogga,132
crime_head,MURDER,district,Vijayanagara,132
crime_head,FOREST,act,KARNATAKA FOREST ACT 1963,131
crime_head,CONSUMER,district,Gadag,131
crime_head,POCSO,district,Kalaburagi City,131
crime_head,MISCHIEF,district,Shivamogga,131
crime_head,THEFT,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",130
crime_head,PUBLIC SAFETY,district,Chikkaballapura,129
crime_head,ARSON,district,Mandya,129
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",128
crime_head,BURGLARY - DAY,district,Davanagere,128
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Karnataka Railways,128
crime_head,Disobedience to Order Promulgated by PublicServan,district,Kolar,128
act,IPC 1860,act,"The Muslim Women(Protection of Rights on Marriage) Act, 2019",127
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Belagavi City,127
crime_head,CYBER CRIME,district,Chamarajanagar,127
crime_head,CRIMES RELATED TO WOMEN,district,Uttara Kannada,127
crime_head,SUICIDE,district,Vijayanagara,127
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Vijayapura,127
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(v-a) IPC 1860,126
crime_head,SUICIDE,district,Kalaburagi,126
crime_head,DACOITY,district,Mangaluru City,126
crime_head,RAPE,district,Tumakuru,126
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Vijayapura,126
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Bidar,125
crime_head,RAPE,district,Hassan,125
