act,section,count
"(B) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),2
(x) IPC 1860,354(A),2
(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,18,2
"(r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2(v),2
(ii) A IPC 1860,201,2
(I)(r)(w) IPC 1860,504,2
"(r),3(1)(w) IPC 1860",506,2
"(r),3(1)(w) IPC 1860",504,2
"(r),3(1)(w) IPC 1860",323,2
"(r),3(1)(w) IPC 1860",354,2
"(10),2(v) IPC 1860",326,2
CEA (Measures Relating to Safety & Electric Supply) Regulations 2010,58(3),2
"The Karnataka Essential Commodities (Maintenance of Accounts, Display of Prices and Stocks) Order, 1981",11,2
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,11,2
(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,2
"THE KARNATAKA AGRICULTURAL PRODUCE MARKETING (REGULATION) ACT, 1966",118,2
"(c),3(1)(r),3(1)(s) IPC 1860",323,2
(r) IPC 1860,419,2
(r) IPC 1860,471,2
[1] [a] IPC 1860,149,2
"(r)(s),3(1)(w)(i) IPC 1860",354,2
"(s),3(1)(w) IPC 1860",109,2
"(1),354(D)(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,2
"(r),2(v) IPC 1860",324,2
"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",12,2
"(r),3(2)(V),3(1)(s) IPC 1860",452,2
"(A),11(1)(B),11(1) (D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",11,2
"(w),3(2)(V) IPC 1860",323,2
"(r)(s) INDIAN ARMS ACT, 1959",25,2
(r)(s) IPC 1860,342,2
"CODE OF CRIMINAL PROCEDURE, 1973",176,2
"RAILWAYS ACT, 1989",144,2
"(I),420 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,2
"KARNATAKA EXCISE ACT, 1965",10(B),2
(L) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(J),2
"(J),376(2)(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
"(J),376(2)(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6(1),2
"B,323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"THE ARMS (AMENDMENT) ACT, 2019",3,2
"THE ARMS (AMENDMENT) ACT, 2019",25,2
"ARMS ACT, 1959",39,2
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6(1),2
"(r),3(1)(s),3(2)(v-a) IPC 1860",509,2
"(b)(c),4(1)(c),5,7,7(3) PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",4,2
"(b)(c),4(1)(c),5,7,7(3) PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",5,2
"(r)(s),3(2)(V) IPC 1860",326,2
"(r),3(2)(v-a) IPC 1860",341,2
"(II),5(L),6,5(n) IPC 1860",376(2),2
"(J),376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,425,2
"(1A) INDIAN MOTOR VEHICLES ACT, 1988",180,2
"(1A),22 INDIAN MOTOR VEHICLES ACT, 1988",188,2
"(A),22 INDIAN MOTOR VEHICLES ACT, 1988",177,2
"(A),22 INDIAN MOTOR VEHICLES ACT, 1988",50,2
KARNATAKA FOREST ACT 1963,24(A),2
KARNATAKA FOREST ACT 1963,92,2
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6(1),2
"(A),177,180,181 IPC 1860",279,2
"(A),177,180,181 IPC 1860",337,2
"(A),177,180,181 IPC 1860",338,2
(5a) IPC 1860,307,2
"(f),3(1)(r),3(1)(s),3(2)(v-a) IPC 1860",34,2
KARNATAKA FOREST ACT 1963,24(B),2
(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,11(ii),2
"(w)(i),3(2)(v-a) IPC 1860",354,2
"(V),3(1)(w)(i) IPC 1860",376(2),2
"WILD LIFE (PROTECTION) ACT, 1972",2(26),2
"(J),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4(2),2
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(n),2
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(j),2
"(2)(v),3(1)(s),3(1)(r) IPC 1860",324,2
"PUBLIC GAMBLING ACT, 1867",4,2
"(a)(vi) PUBLIC GAMBLING ACT, 1867",4,2
"(a)(vi) PUBLIC GAMBLING ACT, 1867",3,2
"(w)(i),3(1)(s),3(1)(r) IPC 1860",504,2
"(w)(i),3(1)(s),3(1)(r) IPC 1860",506,2
"(e),5(1) IPC 1860",34,2
"(r),3(1)(s),3(2)(5) IPC 1860",326,2
(2) IPC 1860,171H,2
"(1A),21(4A),21(5),4(1A),21(3),21(1),21(2) IPC 1860",379,2
"EXPLOSIVE SUBSTANCES ACT, 1908",7,2
"(r),3(1)(s),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,2
"INDIAN MEDICAL COUNCIL ACT, 1956",15(2),2
"(W) (I),3(2)(5a) IPC 1860",376(2),2
"(10),3(2)(5) IPC 1860",504,2
The Petroleum Rules 2002,3,2
"(s),3(1)(r) IPC 1860",506(B),2
"(5),3(1)(s),3(1)(r) IPC 1860",34,2
"FOREST (CONSERVATION) ACT, 1980",3B,2
"(v-a),3(2)(V) IPC 1860",201,2
KARNATAKA LAND REVENUE ACT 1964,39,2
"(II)(B) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20(b),2
"(i) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(a),2
"(s),3(1)(w) IPC 1860",201,2
"(r),3(2)(v-a) IPC 1860",326,2
"(r),3(1)(s),3(1)(w),3(2)(v-a) IPC 1860",143,2
"(r),3(1)(s),3(1)(w),3(2)(v-a) IPC 1860",148,2
(b) IPC 1860,337,2
(xi) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,2
(3) IPC 1860,269,2
(1) (2) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,12(1),2
"(II),6 IPC 1860",363,2
"(r),3(1)(s),3(1)(w) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),2
"(r),3(1)(s),3(2)(va) IPC 1860",212,2
"(r) (s),3(2)(va),3(1)(w) IPC 1860",323,2
(B) IPC 1860,354(A),2
"(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),2
(w)(i)(ii) IPC 1860,354C,2
"(5a),3(1) (W) (I),3(1) (s),3(1) (r) IPC 1860",324,2
"(5a),3(1) (W) (I),3(1) (s),3(1) (r) IPC 1860",504,2
"(d),102 IPC 1860",120B,2
"(11),3(1)(12) IPC 1860",366,2
"(r),3(1)(s),3(1)(w),3(2)(va) IPC 1860",114,2
"(r),3(1)(s),3(1)(zc) IPC 1860",504,2
"(r),3(1)(s),3(1)2(va) IPC 1860",114,2
"(r),3(1) (s),3(2)(5a) IPC 1860",376,2
(h) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,2
"(s) INDIAN MOTOR VEHICLES ACT, 1988",181,2
"(f),3(1)(r),3(1)(s) IPC 1860",341,2
"(r),3(1)(s),3(1)(f) IPC 1860",504,2
"(n),376(3),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(f),3(1)(r),3(1)(s) IPC 1860",323,2
"(10),21(1),21(2),21(3),21(4) INDIAN MOTOR VEHICLES ACT, 1988",180,2
"(f),3(1)(r),3(1)(s) IPC 1860",504,2
"(f),3(1)(r),3(1)(s) IPC 1860",506,2
(s) IPC 1860,306,2
(xii) IPC 1860,420,2
"(f),3(1)(r),3(1)(s) IPC 1860",448,2
(s) IPC 1860,325,2
"(A),21(1)(1A),21(1),21(2),21(3),21(4),21(4A),21(5) IPC 1860",379,2
"(f),3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",34,2
"(n),376(3),366,363 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",9,2
"(i),4,6,8 IPC 1860",463,2
"(i),4,6,8 IPC 1860",464,2
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(2),2
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(3),2
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(4),2
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,21(5),2
(A) IPC 1860,332,2
(A) INDIAN ELECTRICITY ACT (AMEND.) 2003,139,2
"(i),4,6,8 IPC 1860",34,2
(i) (r ) IPC 1860,504,2
(r) (s) IPC 1860,114,2
"(f),3(1)(r) IPC 1860",34,2
"THE KARNATAKA REGULATION OF STONE CRUSHERS ACT, 2011",5,2
"-ii,304A INDIAN MOTOR VEHICLES ACT, 1988",196,2
-ii INDIAN ELECTRICITY ACT (AMEND.) 2003,135,2
"(1A),21(4),4(1A) IPC 1860",379,2
"(1A),21(4) IPC 1860",379,2
"(ii) B,8(c) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27(b),2
(ii)(A) The Karnataka Prisons (Amendment) Act-2022,42,2
"(b),4(1)(a),7(1)(c) ESSENTIAL COMMODITIES ACT, 1955",3,2
"(b),4(1)(a),7(1)(c) ESSENTIAL COMMODITIES ACT, 1955",7,2
"(10),21(1),21(5) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",44,2
"(10),21(1),21(5) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",42,2
"(ii) C NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27(b),2
Private Security Regulation act 2005,5,2
Private Security Regulation act 2005,21,2
Private Security Regulation act 2005,22,2
(a)(vi) IPC 1860,109,2
(12) IPC 1860,506,2
(12) IPC 1860,376,2
"CATTLE TRESPASS ACT, 1871",4,2
"(r)(s),3(2)(5a) IPC 1860",355,2
"PETROLEUM ACT, 1934",4,2
(x) IPC 1860,509,2
KARNATAKA FOREST ACT 1963,41,2
"(r)(s),3(2)(5a) IPC 1860",201,2
"(ii)(A) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",22(C),2
"THE CENTRAL MOTOR VEHICLES RULES, 1989",123,2
MOTOR SPIRIT & HIGH SPEED DIESEL ORDER ACT 1999,5,2
MOTOR SPIRIT & HIGH SPEED DIESEL ORDER ACT 1999,7,2
"(1A),4(1A) IPC 1860",34,2
"(1A),4(1A) IPC 1860",379,2
"(E),11(1) (D),11(1) (A) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",4,2
"(E),11(1) (D),11(1) (A) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",11,2
"(va),3(1)(w) IPC 1860",504,2
"(n),313 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(r),3(1)(s),3(1)(z),3(2)(v-a) IPC 1860",34,2
"(f),3(1)(g),3(2)(v-a) IPC 1860",447,2
"DOMESTIC VIOLENCE ACT, 2005",31,2
(L) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,8,2
(L) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,10,2
"(s),3(1) (r) IPC 1860",354,2
"(f),376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,2
"(2)(iv) INDIAN MOTOR VEHICLES ACT, 1988",196,2
"JUVENILE JUSTICE ACT, 1986",33,2
"(s),3(1)(r) IPC 1860",417,2
(11) IPC 1860,376(2),2
"(n),10 IPC 1860",354(A),2
"(1),11(iv) IPC 1860",504,2
"(1),11(iv) IPC 1860",506,2
"B,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
"(d),102 IPC 1860",414,2
"(n),10 IPC 1860",323,2
"(n),323,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(r) (s),3(2)(va) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),2
(W) (I) IPC 1860,417,2
(5a) IPC 1860,149,2
"(s),3(1)(r),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),2
"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),2
"(i)(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,7,2
"(i),9,8,5,4 ESSENTIAL COMMODITIES ACT, 1955",3,2
"(i),9,8,5,4 ESSENTIAL COMMODITIES ACT, 1955",7,2
"(n),366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
(W) (I) IPC 1860,341,2
"(II),6 IPC 1860",448,2
IPC 1860,2,2
"(w)(i),3(2)(V) CHILD MARRIAGE RESTRAINT ACT",9,2
"(r)(s),3(2)(v-a) IPC 1860",447,2
"KARNATAKA ANCIENT MONUMENTS & ARCH. SITES AND REMAINS ACT, 1961",21(1),2
"(r)(s),3(2)(5a) IPC 1860",447,2
"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",16,2
"(V),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),2
"(r),3(1)(s),3(1)(w),3(2)(va) IPC 1860",354(A),2
"(v-a),3(2)(V) IPC 1860",504,2
(V) IPC 1860,354(A),2
"(r)(s),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),2
(W) (I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(L),2
(i)(n) Prohibition of Child Marriage Act 2006,10,2
(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,11,2
"(1A),21(5) IPC 1860",379,2
"(r),3(1) (s),3(1) (W) (I) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),2
"(r),3(1) (s) IPC 1860",355,2
"(1A) INDIAN MOTOR VEHICLES ACT, 1988",196,2
"(1A) INDIAN MOTOR VEHICLES ACT, 1988",146,2
"(1A) INDIAN MOTOR VEHICLES ACT, 1988",3,2
"(f),376(2)(i)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),2
(r)(s) IPC 1860,313,2
"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(j),2
"(10),21(5) INDIAN MOTOR VEHICLES ACT, 1988",181,2
"(10),21(5) INDIAN MOTOR VEHICLES ACT, 1988",3,2
"(v-a),3(2)(V) IPC 1860",323,2
"(r),3(1)(s),3(2)(v-a) IPC 1860",327,2
"(II),5(r) IPC 1860",376(2),2
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(n),2
"(n),506,366,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
KARNATAKA FOREST RULES,27,2
"THE CENTRAL MOTOR VEHICLES RULES, 1989",15,2
"(i)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),2
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",8,2
"(s),3(2)(va),3(1)(r) IPC 1860",34,2
(w) IPC 1860,420,2
"The Karnataka Land Grabbing Prohibition Act, 2011",7,2
"(II),5(L),6 CHILD MARRIAGE RESTRAINT ACT",10,2
"(II),5(L),6 CHILD MARRIAGE RESTRAINT ACT",11,2
TOBACCO BOARD (AMENDMENT) ACT 1975,12,2
TOBACCO BOARD (AMENDMENT) ACT 1975,13,2
KARNATAKA FOREST ACT 1963,24(I),2
(s) IPC 1860,201,2
"A,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(G),2
"(I),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(r),3(1)(s),3 (2)(v) IPC 1860",143,2
(V) IPC 1860,427,2
"(va),3(1)(r) IPC 1860",114,2
/180 IPC 1860,338,2
(11) The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(1),2
"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",3,2
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",354(B),2
"(va),3 (1) (w) (ii),3(1) (r) (s) IPC 1860",323,2
"(va),3 (1) (w) (ii),3(1) (r) (s) IPC 1860",324,2
"(va),3 (1) (w) (ii),3(1) (r) (s) IPC 1860",354,2
"(w),3(2)(V) IPC 1860",366(A),2
"(va),3(1)(w),3(1)(r),3(1)(s) IPC 1860",143,2
"(va),3(1)(w),3(1)(r),3(1)(s) IPC 1860",147,2
"(va),3(1)(w),3(1)(r),3(1)(s) IPC 1860",149,2
"Indian Treasure Trove Act, 1878",3350,2
(w)(i) IPC 1860,509,2
"(w)(i)(ii),3 (2)(v) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,2
"(w)(i)(ii),3 (2)(v) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(w)(i)(ii),3 (2)(v) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,2
(A) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,22,2
"(r)(s),3(2)(5a) IPC 1860",109,2
"(r) (s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",34,2
"THE ARMS (AMENDMENT) ACT, 2019",25(6),2
"(r)(s),3(2)(vii) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),2
(2)(v) IPC 1860,427,2
"WILD ANIMAL PROTECTION ACT, 1972",11,2
"(va),3(1) (r) (s) IPC 1860",109,2
"(s),3(2)(va),3(1)(r),3(1)(r)(s)(2)(va) IPC 1860",34,2
"(2)(v),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(w),3(2)(V) IPC 1860",366,2
(W) (I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,17,2
"(W) (I),3(1)(r)(s),3(2)(5a) IPC 1860",376,2
"(W) (I),3(1)(r)(s),3(2)(5a) IPC 1860",506,2
"(W) (I),3(1)(r)(s),3(2)(5a) IPC 1860",504,2
"/181,177 INDIAN MOTOR VEHICLES ACT, 1988",196,2
"/181,177 INDIAN MOTOR VEHICLES ACT, 1988",50,2
"(2)(v),3(1)(w)(i) IPC 1860",376,2
"(r),3(1)(s),3 (2)(v) IPC 1860",302,2
(r) (s) IPC 1860,279,2
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va) IPC 1860",448,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",506,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",504,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",143,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",147,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",148,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",149,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",323,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",324,2
"(w)(i)(ii),3(1)(r)(s)(2)(va) IPC 1860",354,2
(w)(i)(ii) IPC 1860,148,2
"(s),3(1) (W) (I) IPC 1860",341,2
"A,323,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,2
(1) (2) The Central Motor Vehicle Rules 2015,125(E),2
"(va),3(1)(w) IPC 1860",354,2
"(r),3(1)(s) IPC 1860",494,2
"(va),3(1)(s) IPC 1860",324,2
"(c),3(1)(r),3(1)(s),3(2)(va) IPC 1860",323,2
(r)(s)(2)(va) IPC 1860,498A,2
(A) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,8,2
"(va),3(1)(w),3(1)(r),3(1)(s) IPC 1860",324,2
"(va),3(1)(w),3(1)(r),3(1)(s) IPC 1860",427,2
(va) IPC 1860,370,2
"(K),11(1) (L) IPC 1860",429,2
"(w)(i)(ii),3(2)(va) IPC 1860",506,2
"ANCIENT MONUMENT & ARCH.SITES & REMAINS RULES,1959",48,2
"ANCIENT MONUMENT & ARCH.SITES & REMAINS RULES,1959",42(1),2
"(a),3(1)(c),3(1)(b) ESSENTIAL COMMODITIES ACT, 1955",3,2
"(a),3(1)(c),3(1)(b) ESSENTIAL COMMODITIES ACT, 1955",7,2
(a)(iii) IPC 1860,341,2
"(3) KARNATAKA POLICE ACT, 1963",78(I),2
"(A),6,7 ESSENTIAL COMMODITIES ACT, 1955",3,2
"(A),6,7 ESSENTIAL COMMODITIES ACT, 1955",7,2
"(c),3(1)(s),3(2)(va) IPC 1860",323,2
"(c),3(1)(s),3(2)(va) IPC 1860",504,2
"(c),3(1)(s),3(2)(va) IPC 1860",506,2
"(c),3(1)(s),3(2)(va) IPC 1860",34,2
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,14(1),2
The Karnataka Prisons (Amendment) Act-2022,42(I),2
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11(f),2
"(4) KARNATAKA POLICE ACT, 1963",87,2
"(n),376(2)(f),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
(1) (2) IPC 1860,149,2
"(i) ESSENTIAL COMMODITIES ACT, 1955",6(A),2
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",326,2
(w) IPC 1860,354(B),2
(w) IPC 1860,149,2
"(f),376(2)(n),448,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(s),3(1) (r) IPC 1860",326,2
"(n),506 The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),2
(D) IPC 1860,353,2
"(r),3(1)(s),3(2)(va) IPC 1860",494,2
"(va),3(1)(s),3(1)(r) IPC 1860",326,2
"(I),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,2
"(n),366,343 The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),2
(1A) KARNATAKA NEW SAND POLICY 2011,31R(13),2
"(r),3(1)(s),3(2)(va) IPC 1860",332,2
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",376(2),2
INDIAN ELECTRICITY ACT (AMEND.) 2003,137,2
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",323,2
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",324,2
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",354,2
"(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,2
"EXPLOSIVES ACT, 1884",9C,2
"(f),3(1)(r),3(1)(s),3(2)(va) IPC 1860",447,2
"(i)(n),366 Prohibition of Child Marriage Act 2006",9,2
"(va),0 IPC 1860",427,2
"(va),0 IPC 1860",148,2
"(w)(i)(ii),3 (2)(v) IPC 1860",344,2
(xi) IPC 1860,354,2
CEA (Measures Relating to Safety & Electric Supply) Regulations 2010,14,2
(A) IPC 1860,506(2),2
Central Electricity Authority Regulations 2010,19(1),2
"(n),366 The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),2
"NEGOTIABLE INSTRUMENTS ACT, 1881",3(1),2
"(A),11(1)(B) Transportation of Animal Act 1978",96,2
"(A),11(1)(B) Transportation of Animal Act 1978",97,2
"(A),11(1)(B) Transportation of Animal Act 1978",98,2
KARNATAKA ELECTRICITY REFORM ACT 1999,43,2
(D) Transportation of Animal Act 1978,96,2
(D) Transportation of Animal Act 1978,97,2
(5) IPC 1860,366,2
"(1),511,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,2
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",9,2
"PRESS AND REGISTRATION OF BOOKS ACT,1867",14,2
"(n),366,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(d),7 THE FERTILISER (CONTROL) ORDER",7,2
"(r),3(1)(s),3(1)(w)(i),3(2)(va) IPC 1860",354,2
(w)(i) IPC 1860,354(D),2
(1) (2) IPC 1860,429,2
"(r),3(1)(c),3(1)(s),3(2)(va) IPC 1860",324,2
"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",17,2
THE WAKF ACT 1995,61(2),2
"(1) (2) INDIAN MOTOR VEHICLES ACT, 1988",177,2
"(r),3(1)(s),3(2)(v-a),3(1)(c) IPC 1860",506(B),2
"(c),3(1)(r),3(1)(s),3(2)(v-a) IPC 1860",326,2
"(r),3(2)(v-a) IPC 1860",448,2
"(r),3(1)(s),3(2)(v-a),3(1)(c) IPC 1860",324,2
"RW 20(b)(2a) INDIAN ARMS ACT, 1959",20,2
"RW 20(b)(2a) INDIAN ARMS ACT, 1959",30,2
"RW 20(b)(2a) INDIAN ARMS ACT, 1959",25(1),2
"PETROLEUM ACT, 1934",23(a),2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",506,2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",504,2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",323,2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",143,2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",147,2
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",149,2
"(va),3(1) (r) (s) IPC 1860",148,2
"(r),3(1)(s),3(1)(w)(i) IPC 1860",354,2
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,1,2
"(1) (2) PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11,2
"(s),3(1)(r),3(2)(v-a) IPC 1860",447,2
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",376,2
"(v-a),3(1)(r),3(1)(s) IPC 1860",504,2
"(r),3(1)(c),3(1)(s),3(2)(va) IPC 1860",323,2
"(f),3(2)(va) IPC 1860",420,2
"(r),3(1)(c),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",504,2
"(r),3(1)(c),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",323,2
"(A) INDIAN MOTOR VEHICLES ACT, 1988",115,2
"(w),3(2)(va) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),2
The SC & ST (Prevention of Atrocities) Amendment Act 2015,15A(9),2
"(n),204 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,2
"(s),3(1)(r),3(2)(v-a) IPC 1860",323,2
"(D) INDIAN MOTOR VEHICLES ACT, 1988",184,2
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,13(1),2
(4) IPC 1860,34,2
"(r),3(2)(v-a) Juvenile Justice (Care and Protection of Children) Act, 2015",75,2
The Central Motor Vehicle Rules 2015,155,2
