unit_name,canonical_name,parent_district,kgis_code,count,n_with_coord,mean_lat,mean_lng
Bidar Traffic PS,Bidar,Bidar,05,1123,1123,17.959722,77.388597
Bidar Women PS,Bidar,Bidar,05,451,451,17.890859,77.51773
Chintaki PS,Bidar,Bidar,05,601,601,18.257276,77.539552
Chitaguppa PS,Bidar,Bidar,05,1467,1467,17.692386,77.201387
Dhannura PS,Bidar,Bidar,05,1753,1753,17.959558,77.33316
Gandhi Gunj PS,Bidar,Bidar,05,1846,1846,17.900082,77.512023
Hallikhed PS,Bidar,Bidar,05,1268,1268,17.845125,77.254731
Hokrana PS,Bidar,Bidar,05,709,709,18.377852,77.326004
Hulsoor PS,Bidar,Bidar,05,874,874,18.001927,76.997113
Humnabad PS,Bidar,Bidar,05,1968,1968,17.777409,77.125214
Humnabad Traffic PS,Bidar,Bidar,05,1122,1122,17.933041,77.206817
Janwada PS,Bidar,Bidar,05,1063,1063,17.988262,77.474433
Kamalanagar PS,Bidar,Bidar,05,1114,1114,18.23526,77.18519
Khataka Chincholi PS,Bidar,Bidar,05,974,974,17.908567,77.200419
Kushnoor PS,Bidar,Bidar,05,1037,1037,18.157006,77.322784
Manna Ekhelli PS,Bidar,Bidar,05,1248,1248,17.723068,77.352704
Mannalli PS,Bidar,Bidar,05,668,668,17.757061,77.497309
Manthala PS,Bidar,Bidar,05,978,978,17.795148,76.836092
Market PS,Bidar,Bidar,05,1022,1022,17.946712,77.29139
Mehakar PS,Bidar,Bidar,05,807,807,18.088713,77.023583
Mudbi PS,Bidar,Bidar,05,837,837,17.724506,76.939501
New Town PS,Bidar,Bidar,05,1719,1719,17.976572,77.294218
Santhapur PS,Bidar,Bidar,05,1001,1001,18.155125,77.438677
CCPS Central Range Bengaluru City,CID,,,31,0,,
Cyber Crime Police Station CID,CID,,,131,1,12.909367,77.638757
Cyber Crime Police Station Mangaluru,CID,,,3,0,,
Cyber Crime PoliceStation Davanagere,CID,,,3,0,,
Cyber Crime PoliceStation Mysuru,CID,,,4,0,,
Begur PS,Chamarajanagar,Chamarajanagar,27,1775,1775,11.926055,76.669234
Chamarajanagar CEN Crime PS,Chamarajanagar,Chamarajanagar,27,237,237,11.933734,76.955525
Chamarajanagar East PS,Chamarajanagar,Chamarajanagar,27,2296,2296,11.931846,76.970789
Chamarajanagar Rural PS,Chamarajanagar,Chamarajanagar,27,2056,2056,11.921291,76.922408
Chamarajanagar Town PS,Chamarajanagar,Chamarajanagar,27,1613,1613,11.922217,76.932964
Chamarajanagar Traffic PS,Chamarajanagar,Chamarajanagar,27,883,883,11.947907,77.05753
Chamrajanagar Women ps,Chamarajanagar,Chamarajanagar,27,279,279,11.938543,76.961747
Gundlupete  PS,Chamarajanagar,Chamarajanagar,27,1756,1756,11.811224,76.68226
Hanur PS,Chamarajanagar,Chamarajanagar,27,1540,1540,12.099416,77.294919
Kollegala Rural  PS,Chamarajanagar,Chamarajanagar,27,2250,2250,12.170354,77.130502
Kollegala Town PS,Chamarajanagar,Chamarajanagar,27,1708,1708,12.157277,77.108434
Kuderu PS,Chamarajanagar,Chamarajanagar,27,788,788,12.056777,76.929558
M.M. Hills PS,Chamarajanagar,Chamarajanagar,27,529,529,12.033757,77.591782
Mambali PS,Chamarajanagar,Chamarajanagar,27,487,487,12.119443,77.070289
Ramapura PS,Chamarajanagar,Chamarajanagar,27,1356,1356,12.00843,77.40638
Santemaralli PS,Chamarajanagar,Chamarajanagar,27,758,758,12.042014,76.977667
Terakanambi PS,Chamarajanagar,Chamarajanagar,27,1343,1343,11.816008,76.78914
Yelandur  PS,Chamarajanagar,Chamarajanagar,27,1389,1389,12.051973,77.033712
Bagepalli PS,Chikkaballapura,Chikkaballapura,28,3256,3256,13.784599,77.798827
Batlahalli PS,Chikkaballapura,Chikkaballapura,28,1297,1297,13.580261,78.133085
Chelur PS,Chikkaballapura,Chikkaballapura,28,809,809,13.709114,78.093212
Chickaballapura CEN Crime PS,Chikkaballapura,Chikkaballapura,28,525,525,13.455304,77.723696
Chickballapura Rural PS,Chikkaballapura,Chikkaballapura,28,2161,2161,13.43674,77.725771
Chickballapura Town PS,Chikkaballapura,Chikkaballapura,28,1461,1461,13.43673,77.7236
Chickballapura Traffic PS,Chikkaballapura,Chikkaballapura,28,638,638,13.51469,77.720817
Chikkaballapura Women PS,Chikkaballapura,Chikkaballapura,28,786,786,13.438024,77.723768
Chintamani Rural PS,Chikkaballapura,Chikkaballapura,28,4198,4198,13.398735,78.051898
Chintamani Town PS,Chikkaballapura,Chikkaballapura,28,2235,2235,13.400833,78.053377
Dibburahalli PS,Chikkaballapura,Chikkaballapura,28,1478,1478,13.565436,77.8939
Gowribidanur Rural PS,Chikkaballapura,Chikkaballapura,28,2903,2903,13.602117,77.508107
Gowribidanur Town PS,Chikkaballapura,Chikkaballapura,28,1858,1858,13.608378,77.518225
Gudibande PS,Chikkaballapura,Chikkaballapura,28,2347,2347,13.665017,77.720647
Kencharlahalli PS,Chikkaballapura,Chikkaballapura,28,1396,1396,13.519367,78.068205
Manchenalli PS,Chikkaballapura,Chikkaballapura,28,2285,2285,13.50298,77.597821
Nandi Giridhama PS,Chikkaballapura,Chikkaballapura,28,1420,1420,13.376142,77.706559
Patapalya PS,Chikkaballapura,Chikkaballapura,28,838,838,13.761309,77.962435
Peresandra PS,Chikkaballapura,Chikkaballapura,28,539,539,13.580154,77.774771
Shidlagatta Rural PS,Chikkaballapura,Chikkaballapura,28,2842,2842,13.376323,77.867551
Shidlaghatta Town PS,Chikkaballapura,Chikkaballapura,28,1273,1273,13.392148,77.864083
Ajjampura PS,Chikkamagaluru,Chikkamagaluru,17,2670,2670,13.753183,76.010383
Aldur PS,Chikkamagaluru,Chikkamagaluru,17,1597,1597,13.240875,75.645505
Balehonnur PS,Chikkamagaluru,Chikkamagaluru,17,1201,1201,13.351718,75.472527
Balur  PS,Chikkamagaluru,Chikkamagaluru,17,551,551,13.170846,75.495384
Banakal  PS,Chikkamagaluru,Chikkamagaluru,17,841,841,13.13656,75.55531
Basavanahalli  PS,Chikkamagaluru,Chikkamagaluru,17,1199,1199,13.330514,75.768386
Birur PS,Chikkamagaluru,Chikkamagaluru,17,1425,1425,13.606592,75.964566
Chickmagalur CEN Crime PS,Chikkamagaluru,Chikkamagaluru,17,633,633,13.328318,75.774473
Chickmagalur Rural  PS,Chikkamagaluru,Chikkamagaluru,17,3302,3302,13.32246,75.798706
Chickmagalur Town PS,Chikkamagaluru,Chikkamagaluru,17,2134,2134,13.318383,75.772073
Chickmagalur Traffic PS,Chikkamagaluru,Chikkamagaluru,17,951,951,13.363299,75.703319
Chickmagalur Women PS,Chikkamagaluru,Chikkamagaluru,17,737,737,13.322277,75.768107
Gonibeedu PS,Chikkamagaluru,Chikkamagaluru,17,850,850,13.092301,75.699687
Hariharapura PS,Chikkamagaluru,Chikkamagaluru,17,435,435,13.522434,75.295339
Jayapura PS,Chikkamagaluru,Chikkamagaluru,17,517,517,13.397597,75.370851
Kadur PS,Chikkamagaluru,Chikkamagaluru,17,2252,2252,13.528319,76.017645
Kalasa PS,Chikkamagaluru,Chikkamagaluru,17,650,650,13.2375,75.371358
Koppa  PS,Chikkamagaluru,Chikkamagaluru,17,873,873,13.540656,75.364408
Kuduremukh PS,Chikkamagaluru,Chikkamagaluru,17,152,152,13.212018,75.253275
Lakkavalli PS,Chikkamagaluru,Chikkamagaluru,17,1177,1177,13.706823,75.669017
Lingadahalli PS,Chikkamagaluru,Chikkamagaluru,17,1054,1054,13.601227,75.82675
Mallanduru PS,Chikkamagaluru,Chikkamagaluru,17,654,654,13.364803,75.656211
Mudigere PS,Chikkamagaluru,Chikkamagaluru,17,1536,1536,13.134356,75.642965
N.R. Pura PS,Chikkamagaluru,Chikkamagaluru,17,1036,1036,13.615437,75.50009
Panchanahalli PS,Chikkamagaluru,Chikkamagaluru,17,569,569,13.549256,76.307979
Sakkaraya Patna PS,Chikkamagaluru,Chikkamagaluru,17,1573,1573,13.42879,75.92988
Singatagere PS,Chikkamagaluru,Chikkamagaluru,17,419,419,13.535959,76.16861
Sringeri  PS,Chikkamagaluru,Chikkamagaluru,17,871,871,13.420046,75.252987
Tarikere Town PS,Chikkamagaluru,Chikkamagaluru,17,2838,2838,13.508884,75.576451
Yagati PS,Chikkamagaluru,Chikkamagaluru,17,788,788,13.611191,76.146396
Abbinahole PS,Chitradurga,Chitradurga,13,1449,1449,14.044158,76.739333
Bharamasagara PS,Chitradurga,Chitradurga,13,2823,2823,14.364981,76.193872
Challakere PS,Chitradurga,Chitradurga,13,4033,4033,14.315311,76.644906
Chikkajajur PS,Chitradurga,Chitradurga,13,1895,1895,14.128759,76.139176
Chitradurga CEN Crime PS,Chitradurga,Chitradurga,13,748,748,14.230868,76.408068
Chitradurga Extension PS,Chitradurga,Chitradurga,13,925,925,14.229946,76.412895
Chitradurga Kote PS,Chitradurga,Chitradurga,13,1595,1595,14.218083,76.3872
Chitradurga Rural PS,Chitradurga,Chitradurga,13,3732,3732,14.234242,76.399267
Chitradurga Town PS,Chitradurga,Chitradurga,13,2657,2657,14.223984,76.403572
Chitradurga Traffic PS,Chitradurga,Chitradurga,13,1206,1206,14.279239,76.480825
Chitradurga Women PS,Chitradurga,Chitradurga,13,654,654,14.225554,76.409026
Chitrahalli Gate PS,Chitradurga,Chitradurga,13,1242,1242,14.092982,76.272018
Hiriyur Rural PS,Chitradurga,Chitradurga,13,3498,3498,13.951252,76.608219
Hiriyur Town PS,Chitradurga,Chitradurga,13,2161,2161,13.93836,76.596734
Holalkere PS,Chitradurga,Chitradurga,13,3008,3008,14.037001,76.181698
Hosadurga PS,Chitradurga,Chitradurga,13,4012,4012,13.801646,76.28201
Imangala PS,Chitradurga,Chitradurga,13,1707,1707,14.095601,76.534694
Molakalmuru PS,Chitradurga,Chitradurga,13,1377,1377,14.714952,76.73995
Nayakanhatti PS,Chitradurga,Chitradurga,13,1458,1458,14.469452,76.547352
Parasurampura PS,Chitradurga,Chitradurga,13,1462,1462,14.259168,76.879564
Rampura PS,Chitradurga,Chitradurga,13,1223,1223,14.884786,76.781691
Srirampura PS,Chitradurga,Chitradurga,13,1939,1939,13.610865,76.420434
Thalak  PS,Chitradurga,Chitradurga,13,1561,1561,14.421663,76.628056
Turuvanur (Jogi) PS,Chitradurga,Chitradurga,13,1389,1389,14.39977,76.435931
Coastal Security Police Belekeri,Coastal Security Police,,,17,2,14.042752,74.015442
Coastal Security Police Bhatkal,Coastal Security Police,,,15,8,14.037435,74.562462
Coastal Security Police Gangolli,Coastal Security Police,,,18,15,13.661748,74.888917
Coastal Security Police Hejamady,Coastal Security Police,,,15,6,13.138853,74.757819
Coastal Security Police Honnavar,Coastal Security Police,,,25,16,14.251002,74.452525
Coastal Security Police Karwar,Coastal Security Police,,,47,47,14.826565,74.140597
Coastal Security Police Kumta,Coastal Security Police,,,29,10,14.440779,74.309758
Coastal Security Police Malpe,Coastal Security Police,,,12,0,,
Coastal Security Police Mangaluru,Coastal Security Police,,,35,27,12.621734,74.497471
Bantwala Rural PS,Dakshina Kannada,Dakshina Kannada,24,1338,1338,12.889106,75.039645
Bantwala Town PS,Dakshina Kannada,Dakshina Kannada,24,1678,1678,12.88054,75.032601
Bantwala Traffic PS,Dakshina Kannada,Dakshina Kannada,24,1334,1334,12.854423,75.090918
Bellare PS,Dakshina Kannada,Dakshina Kannada,24,714,714,12.674909,75.370195
Belthangadi PS,Dakshina Kannada,Dakshina Kannada,24,1311,1311,12.992679,75.284155
Belthangadi Traffic PS,Dakshina Kannada,Dakshina Kannada,24,744,744,12.897778,75.284518
DK CEN Crime PS,Dakshina Kannada,Dakshina Kannada,24,151,151,12.857062,74.865314
DK Women PS,Dakshina Kannada,Dakshina Kannada,24,229,229,12.774556,75.212716
Dharmasthala PS,Dakshina Kannada,Dakshina Kannada,24,1065,1065,12.939381,75.386885
Kadaba PS,Dakshina Kannada,Dakshina Kannada,24,1178,1178,12.744956,75.461678
Punjalkatte PS,Dakshina Kannada,Dakshina Kannada,24,974,974,12.9449,75.169287
Puttur Rural PS,Dakshina Kannada,Dakshina Kannada,24,1233,1233,12.71956,75.224452
Puttur Town PS,Dakshina Kannada,Dakshina Kannada,24,1240,1240,12.76188,75.199704
Puttur Traffic PS,Dakshina Kannada,Dakshina Kannada,24,1516,1516,12.820077,75.236172
Subramanya PS,Dakshina Kannada,Dakshina Kannada,24,722,722,12.666982,75.592942
Sullia PS,Dakshina Kannada,Dakshina Kannada,24,1280,1280,12.5586,75.394618
Uppinangadi PS,Dakshina Kannada,Dakshina Kannada,24,1666,1666,12.839069,75.276666
Venoor PS,Dakshina Kannada,Dakshina Kannada,24,838,838,13.038042,75.159677
Vitla PS,Dakshina Kannada,Dakshina Kannada,24,1914,1914,12.763694,75.09954
Azad Nagar PS,Davanagere,Davanagere,14,1071,1071,14.480754,75.924976
Basavanagara PS,Davanagere,Davanagere,14,961,961,14.465399,75.909635
Basavapatna PS,Davanagere,Davanagere,14,1289,1289,14.204242,75.804435
Bilichodu PS,Davanagere,Davanagere,14,1280,1280,14.507666,76.175841
Channagiri PS,Davanagere,Davanagere,14,4096,4096,14.02496,75.929188
Davanagere CEN Crime PS,Davanagere,Davanagere,14,641,641,14.433957,75.894489
Davanagere Extention PS,Davanagere,Davanagere,14,2121,2121,14.463555,75.919092
Davanagere Rural PS,Davanagere,Davanagere,14,3092,3092,14.451982,75.939482
Davanagere South Traffic PS,Davanagere,Davanagere,14,1387,1387,14.316946,75.856662
Davanagere Women PS,Davanagere,Davanagere,14,1243,1243,14.464125,75.919077
Davangere North Traffic PS,Davanagere,Davanagere,14,452,452,14.356107,75.876387
Gandhi Nagar PS,Davanagere,Davanagere,14,921,921,14.477543,75.91625
Hadadi PS,Davanagere,Davanagere,14,1554,1554,14.363572,75.89931
Harihara Rural PS,Davanagere,Davanagere,14,1764,1764,14.522097,75.811668
Harihara Town PS,Davanagere,Davanagere,14,1675,1675,14.514497,75.807373
Honnali PS,Davanagere,Davanagere,14,2655,2655,14.234912,75.664898
Jagalur PS,Davanagere,Davanagere,14,2281,2281,14.514523,76.338339
KTJ Nagar PS,Davanagere,Davanagere,14,2127,2127,14.308338,75.852559
Malebennur PS,Davanagere,Davanagere,14,1810,1810,14.361426,75.736697
Mayakonda PS,Davanagere,Davanagere,14,1111,1111,14.290768,76.070159
Nyamathi PS,Davanagere,Davanagere,14,1642,1642,14.138825,75.56376
RMC Yard PS,Davanagere,Davanagere,14,664,664,14.347385,75.87807
Santhebennur PS,Davanagere,Davanagere,14,1543,1543,14.177472,75.958828
Vidyanagar PS,Davanagere,Davanagere,14,1661,1661,14.435693,75.912859
Alnavar PS,Dharwad,Dharwad,09,896,896,15.431366,74.755997
Annigeri PS,Dharwad,Dharwad,09,1219,1219,15.429338,75.42064
Dharwad CEN Crime PS,Dharwad,Dharwad,09,177,177,15.40385,75.071635
Dharwad Rural PS,Dharwad,Dharwad,09,2318,2318,15.470621,74.995383
Dharwad Women PS,Dharwad,Dharwad,09,292,292,15.416232,75.033182
Garag PS,Dharwad,Dharwad,09,1610,1610,15.561076,74.920321
Gudageri PS,Dharwad,Dharwad,09,635,635,15.126928,75.353372
Hubli Rural PS,Dharwad,Dharwad,09,2447,2447,15.340452,75.168895
Kalaghatagi PS,Dharwad,Dharwad,09,2351,2351,15.184105,74.968623
Kundagol PS,Dharwad,Dharwad,09,1276,1276,15.241796,75.242612
Navalgund PS,Dharwad,Dharwad,09,1645,1645,15.563738,75.346573
Betageri  PS,Gadag,Gadag,08,1137,1137,15.446119,75.647903
Betageri Extention PS,Gadag,Gadag,08,750,750,15.427746,75.648921
Gadag CEN Crime PS,Gadag,Gadag,08,296,296,15.412811,75.634143
Gadag Rural PS,Gadag,Gadag,08,2640,2640,15.418829,75.628222
Gadag Town PS,Gadag,Gadag,08,1565,1565,15.428333,75.625809
Gadag Traffic PS,Gadag,Gadag,08,322,322,15.424504,75.665296
Gadag Women PS,Gadag,Gadag,08,73,73,15.426168,75.624718
Gajendragad PS,Gadag,Gadag,08,1742,1742,15.739831,75.954704
Lakshmeshwar PS,Gadag,Gadag,08,1367,1367,15.118621,75.488149
Mulagund PS,Gadag,Gadag,08,784,784,15.26893,75.540441
Mundargi PS,Gadag,Gadag,08,1888,1888,15.206152,75.85375
Naregal PS,Gadag,Gadag,08,905,905,15.584193,75.793946
Nargund PS,Gadag,Gadag,08,1840,1840,15.734425,75.400244
Ron PS,Gadag,Gadag,08,1736,1736,15.706784,75.711891
Shirahatti PS,Gadag,Gadag,08,1457,1457,15.196099,75.599743
Alur PS,Hassan,Hassan,23,2615,2615,12.97481,75.987997
Arakalagud PS,Hassan,Hassan,23,2698,2698,12.754899,76.076834
Arasikere Rural PS,Hassan,Hassan,23,1664,1664,13.312863,76.258458
Arasikere Town PS,Hassan,Hassan,23,1766,1766,13.311,76.257694
Arehalli PS,Hassan,Hassan,23,1490,1490,13.050537,75.805685
Banavara PS,Hassan,Hassan,23,1536,1536,13.405842,76.174805
Belur PS,Hassan,Hassan,23,2654,2654,13.173338,75.870302
Channarayapatna Rural PS,Hassan,Hassan,23,1909,1909,12.902669,76.384933
Channarayapatna Town PS,Hassan,Hassan,23,3128,3128,12.898702,76.391677
Channarayapatna Traffic PS,Hassan,Hassan,23,1176,1176,12.942344,76.338003
Dudda PS,Hassan,Hassan,23,1268,1268,13.085858,76.20421
Gandasi PS,Hassan,Hassan,23,1709,1709,13.157373,76.303277
Goruru PS,Hassan,Hassan,23,1340,1340,12.8296,76.070266
Halebeedu PS,Hassan,Hassan,23,2184,2184,13.214529,75.995476
Hallymysore PS,Hassan,Hassan,23,1149,1149,12.657747,76.258711
Hassan CEN Crime PS,Hassan,Hassan,23,332,332,13.265612,76.244184
Hassan City PS,Hassan,Hassan,23,2036,2036,13.003183,76.100199
Hassan Extn. PS,Hassan,Hassan,23,2387,2387,13.026145,76.171646
Hassan Rural PS,Hassan,Hassan,23,2504,2504,13.013963,76.104816
Hassan Traffic PS,Hassan,Hassan,23,2444,2444,13.022504,76.160765
Hassan Women PS,Hassan,Hassan,23,871,871,13.004,76.111383
Hirisave PS,Hassan,Hassan,23,1306,1306,12.944162,76.550558
Holenarasipura Rural PS,Hassan,Hassan,23,1247,1247,12.781871,76.249637
Holenarasipura Town PS,Hassan,Hassan,23,2241,2241,12.773152,76.244993
Javagal PS,Hassan,Hassan,23,1174,1174,13.301754,76.05811
Konanur PS,Hassan,Hassan,23,2373,2373,12.617381,76.058455
Nuggehalli PS,Hassan,Hassan,23,1474,1474,13.015166,76.471634
Pension Mohalla PS,Hassan,Hassan,23,1423,1423,13.009414,76.097397
Sakaleshpura Rural PS,Hassan,Hassan,23,2009,2009,12.93592,75.782688
Sakaleshpura Town PS,Hassan,Hassan,23,2047,2047,12.946172,75.788259
Shanthigrama PS,Hassan,Hassan,23,1456,1456,12.976099,76.2161
Shravanabelagola PS,Hassan,Hassan,23,1519,1519,12.856338,76.480687
Yeslur PS,Hassan,Hassan,23,1127,1127,12.779916,75.855702
Adur PS,Haveri,Haveri,11,1712,1712,14.767143,75.247737
Bankapura PS,Haveri,Haveri,11,1257,1257,14.916394,75.257525
Byadagi PS,Haveri,Haveri,11,1640,1640,14.655027,75.481395
Guttal PS,Haveri,Haveri,11,1414,1414,14.846289,75.628256
Halageri PS,Haveri,Haveri,11,1557,1557,14.543823,75.611316
Hanagal PS,Haveri,Haveri,11,2340,2340,14.756555,75.124111
Hansabhavi PS,Haveri,Haveri,11,1468,1468,14.565299,75.37042
Haveri CEN Crime PS,Haveri,Haveri,11,477,477,14.754139,75.410637
Haveri Rural PS,Haveri,Haveri,11,1595,1595,14.791872,75.390619
Haveri Town PS,Haveri,Haveri,11,1418,1418,14.791518,75.398351
Haveri Traffic PS,Haveri,Haveri,11,390,390,14.750831,75.389908
Haveri Women PS,Haveri,Haveri,11,491,491,14.789616,75.411454
Hirekerur  PS,Haveri,Haveri,11,1775,1775,14.45061,75.396398
Hulagur PS,Haveri,Haveri,11,108,108,14.872882,75.341713
Kaginele PS,Haveri,Haveri,11,961,961,14.678976,75.354656
Kumarapattanam PS,Haveri,Haveri,11,976,976,14.526436,75.778155
Ranebennur Rural PS,Haveri,Haveri,11,2425,2425,14.626655,75.62842
Ranebennur Town PS,Haveri,Haveri,11,1599,1599,14.613027,75.626187
Ranebennur Traffic PS,Haveri,Haveri,11,467,467,14.681347,75.469726
Rattihalli PS,Haveri,Haveri,11,1358,1358,14.419134,75.503129
Savanoor PS,Haveri,Haveri,11,1809,1809,14.963532,75.346805
Shiggaon PS,Haveri,Haveri,11,1568,1568,14.994127,75.230149
Tadas PS,Haveri,Haveri,11,966,966,15.11058,75.127406
APMC Navanagar,Hubballi-Dharwad City,Dharwad,09,901,901,15.39204,75.084788
Ashoknagar PS,Hubballi-Dharwad City,Dharwad,09,636,636,15.367004,75.138411
Bendigeri PS,Hubballi-Dharwad City,Dharwad,09,1017,1017,15.339449,75.151329
CEN Crime PS Hubballi Dharwad City,Hubballi-Dharwad City,Dharwad,09,1243,1243,15.376188,75.101924
Dharwad Sub-Urban PS,Hubballi-Dharwad City,Dharwad,09,2222,2222,15.463749,74.996416
Dharwad Town PS,Hubballi-Dharwad City,Dharwad,09,1406,1406,15.459295,75.01281
Dharwad Traffic PS,Hubballi-Dharwad City,Dharwad,09,1254,1254,15.402625,75.081428
E and N Crime PS HD city,Hubballi-Dharwad City,Dharwad,09,33,33,15.368061,75.117657
Ghantikeri PS,Hubballi-Dharwad City,Dharwad,09,565,565,15.338247,75.143153
Gokul Road PS,Hubballi-Dharwad City,Dharwad,09,1033,1033,15.351466,75.108855
HD City Women PS,Hubballi-Dharwad City,Dharwad,09,569,569,15.400378,75.155426
Hubballi East Traffic PS,Hubballi-Dharwad City,Dharwad,09,637,637,15.363955,75.141959
Hubballi North Traffic PS,Hubballi-Dharwad City,Dharwad,09,1009,1009,15.366114,75.121106
Hubballi South Traffic PS,Hubballi-Dharwad City,Dharwad,09,708,708,15.346535,75.13292
Hubballi Sub Urban PS,Hubballi-Dharwad City,Dharwad,09,1618,1618,15.350492,75.137062
Hubballi Town PS,Hubballi-Dharwad City,Dharwad,09,1242,1242,15.345781,75.143916
Kamaripeth PS,Hubballi-Dharwad City,Dharwad,09,391,391,15.344318,75.136926
Kasabapeth PS,Hubballi-Dharwad City,Dharwad,09,1027,1027,15.341028,75.143099
Keshavapur PS,Hubballi-Dharwad City,Dharwad,09,1349,1349,15.361383,75.160745
Old Hubballi PS,Hubballi-Dharwad City,Dharwad,09,1758,1758,15.358455,75.119826
Vidyagiri PS,Hubballi-Dharwad City,Dharwad,09,1889,1889,15.436774,75.014075
Vidyanagar PS,Hubballi-Dharwad City,Dharwad,09,1580,1580,15.3645,75.12502
ISD PS,ISD Bengaluru,,,139,139,12.969332,77.616757
Andersonpet  PS,K.G.F,Kolar,19,1061,1061,12.93146,78.278129
BEML Nagar PS,K.G.F,Kolar,19,649,649,12.981416,78.237738
Bangarpet  PS,K.G.F,Kolar,19,2669,2669,12.988013,78.178968
Bethamangala PS,K.G.F,Kolar,19,1458,1458,13.00965,78.330614
Budikote PS,K.G.F,Kolar,19,272,272,12.91161,78.141682
Champion Reefs  PS,K.G.F,Kolar,19,313,313,12.95562,78.270071
KGF CEN Crime PS,K.G.F,Kolar,19,378,378,12.962735,78.258684
Kamasamudram PS,K.G.F,Kolar,19,860,860,12.86342,78.197392
Kyasamballi PS,K.G.F,Kolar,19,205,205,12.951387,78.360342
Marikuppam  PS,K.G.F,Kolar,19,447,447,12.925333,78.267644
Oorgaum PS,K.G.F,Kolar,19,646,646,12.953348,78.263496
Robertsonpet  PS,K.G.F,Kolar,19,1298,1298,12.957642,78.273432
Afzalpur PS,Kalaburagi,Kalaburagi,04,2079,2079,17.203436,76.35726
Alland PS,Kalaburagi,Kalaburagi,04,1828,1828,17.560501,76.559579
Chincholi PS,Kalaburagi,Kalaburagi,04,1624,1624,17.460121,77.417932
Chittapura PS,Kalaburagi,Kalaburagi,04,1126,1126,17.119527,77.085123
Devalagangapur PS,Kalaburagi,Kalaburagi,04,1152,1152,17.204878,76.543988
Jewargi PS,Kalaburagi,Kalaburagi,04,2395,2395,17.010933,76.775276
Kalaburagi CEN Crime PS,Kalaburagi,Kalaburagi,04,94,94,17.326295,76.858033
Kalaburagi Women PS,Kalaburagi,Kalaburagi,04,534,534,17.32781,76.836562
Kalagi PS,Kalaburagi,Kalaburagi,04,803,803,17.223463,77.093931
Kamalapur PS,Kalaburagi,Kalaburagi,04,1033,1033,17.579564,76.994141
Kunchavaram PS,Kalaburagi,Kalaburagi,04,328,328,17.486332,77.615152
Kurakunta PS,Kalaburagi,Kalaburagi,04,276,276,17.191889,77.356454
Madanahipparga PS,Kalaburagi,Kalaburagi,04,638,638,17.458309,76.37569
Madbool PS,Kalaburagi,Kalaburagi,04,1025,1025,17.284804,77.004956
Mahagoan PS,Kalaburagi,Kalaburagi,04,954,954,17.516562,76.94327
Malkhed PS,Kalaburagi,Kalaburagi,04,791,791,17.194431,77.162034
Miryan PS,Kalaburagi,Kalaburagi,04,446,446,17.366467,77.490617
Mudhol PS,Kalaburagi,Kalaburagi,04,1288,1288,16.914697,77.446183
Narona PS,Kalaburagi,Kalaburagi,04,1256,1256,17.510869,76.709888
Nelogi PS,Kalaburagi,Kalaburagi,04,1624,1624,17.055159,76.596905
Nimbarga PS,Kalaburagi,Kalaburagi,04,1048,1048,17.385733,76.582013
Ratkal PS,Kalaburagi,Kalaburagi,04,788,788,17.455515,77.119969
Revoor PS,Kalaburagi,Kalaburagi,04,725,725,17.318108,76.474234
Sedam PS,Kalaburagi,Kalaburagi,04,2135,2135,17.177731,77.285546
Shahabad Town PS,Kalaburagi,Kalaburagi,04,1422,1422,17.130792,76.934975
Sulepet PS,Kalaburagi,Kalaburagi,04,1055,1055,17.394975,77.34035
Wadi PS,Kalaburagi,Kalaburagi,04,1406,1406,17.052967,76.988021
Yedrami PS,Kalaburagi,Kalaburagi,04,1478,1478,16.85399,76.532143
Ashoknagar PS,Kalaburagi City,Kalaburagi,04,1271,1271,17.321842,76.814135
Brahmapur PS,Kalaburagi City,Kalaburagi,04,1693,1693,17.33712,76.837011
Chowk PS,Kalaburagi City,Kalaburagi,04,1482,1482,17.343276,76.835261
Ferhatabad PS,Kalaburagi City,Kalaburagi,04,1297,1297,17.18468,76.778728
Kalaburagi City CENCrime PS,Kalaburagi City,Kalaburagi,04,180,180,17.310622,76.819339
Kalaburagi City Women PS,Kalaburagi City,Kalaburagi,04,744,744,17.324593,76.822939
Kalaburagi Traffic I PS,Kalaburagi City,Kalaburagi,04,1371,1371,17.259724,76.793214
Kalaburagi Traffic II PS,Kalaburagi City,Kalaburagi,04,1805,1805,17.31755,76.82799
MB Nagar PS,Kalaburagi City,Kalaburagi,04,1055,1055,17.328628,76.862088
Ragavendranagar PS,Kalaburagi City,Kalaburagi,04,1498,1498,17.25986,76.786348
Roza PS,Kalaburagi City,Kalaburagi,04,1033,1033,17.346861,76.851686
Station Bazar PS,Kalaburagi City,Kalaburagi,04,1613,1613,17.31742,76.826121
Sub Urban PS,Kalaburagi City,Kalaburagi,04,2648,2648,17.362216,76.830131
University PS,Kalaburagi City,Kalaburagi,04,2533,2533,17.310626,76.874391
Arasikere Rly PS,Karnataka Railways,,,274,153,13.347301,76.198697
Ballari Rly PS,Karnataka Railways,,,256,74,15.177091,76.728092
Bangarpet Rly PS,Karnataka Railways,,,171,36,13.00021,78.147969
Belagavi Rly PS,Karnataka Railways,,,403,158,15.944436,74.595744
Bengaluru Cantonment Rly PS,Karnataka Railways,,,591,245,12.995553,77.720096
Bengaluru City Rly PS,Karnataka Railways,,,1671,372,12.88616,77.489142
